item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T13:39:42.007216,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T13:39:42.205910,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T13:39:43.299001,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T13:39:42.822134,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T13:39:42.293670,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T13:39:42.882170,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T13:39:41.731608,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T13:39:40.984286,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T13:39:42.966045,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T13:39:43.345930,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T13:39:43.096261,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T13:39:41.615493,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T13:39:43.489291,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T13:39:43.469704,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T13:39:44.695407,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T13:39:44.495292,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T13:39:44.100187,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T13:39:44.569290,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T13:39:45.298567,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T13:39:45.378807,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T13:39:45.250035,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T13:39:44.540294,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T13:39:44.555857,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T13:39:44.613597,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T13:39:45.340786,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T13:39:46.040101,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T13:39:46.201731,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T13:39:46.967653,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T13:39:46.817106,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T13:39:46.204174,abstract_algebra
3,1,D,B,0,1,0,D,2026-07-30T13:39:46.836432,abstract_algebra
3,2,D,B,0,1,0,D,2026-07-30T13:39:46.045263,abstract_algebra
3,3,D,B,0,1,0,D,2026-07-30T13:39:46.140043,abstract_algebra
3,4,D,B,0,1,0,D,2026-07-30T13:39:47.964106,abstract_algebra
3,5,D,B,0,1,0,D,2026-07-30T13:39:46.941566,abstract_algebra
3,6,D,B,0,1,0,D,2026-07-30T13:39:48.062524,abstract_algebra
3,7,D,B,0,1,0,D,2026-07-30T13:39:46.894525,abstract_algebra
3,8,D,B,0,1,0,D,2026-07-30T13:39:48.296173,abstract_algebra
