item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T13:39:28.595926,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T13:39:29.153332,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T13:39:29.143130,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T13:39:29.185998,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T13:39:28.504565,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T13:39:27.929093,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T13:39:28.497783,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T13:39:28.995819,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T13:39:29.028178,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T13:39:28.479642,abstract_algebra
1,1,D,A,0,1,0,D,2026-07-30T13:39:28.043549,abstract_algebra
1,2,D,A,0,1,0,D,2026-07-30T13:39:28.453972,abstract_algebra
1,3,D,A,0,1,0,D,2026-07-30T13:39:29.601310,abstract_algebra
1,4,D,A,0,1,0,D,2026-07-30T13:39:30.589554,abstract_algebra
1,5,D,A,0,1,0,D,2026-07-30T13:39:30.524181,abstract_algebra
1,6,D,A,0,1,0,D,2026-07-30T13:39:30.575669,abstract_algebra
1,7,D,A,0,1,0,D,2026-07-30T13:39:30.641863,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T13:39:31.351370,abstract_algebra
1,9,D,A,0,1,0,D,2026-07-30T13:39:29.757819,abstract_algebra
1,10,D,A,0,1,0,D,2026-07-30T13:39:31.239956,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T13:39:30.541943,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T13:39:30.685439,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T13:39:31.332767,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T13:39:31.353237,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T13:39:31.262442,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T13:39:31.242199,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T13:39:32.587531,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T13:39:32.416608,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T13:39:32.456674,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T13:39:32.261691,abstract_algebra
3,1,D,B,0,1,0,D,2026-07-30T13:39:32.514670,abstract_algebra
3,2,D,B,0,1,0,D,2026-07-30T13:39:32.565722,abstract_algebra
3,3,D,B,0,1,0,D,2026-07-30T13:39:40.162902,abstract_algebra
3,4,D,B,0,1,0,D,2026-07-30T13:39:32.714168,abstract_algebra
3,5,D,B,0,1,0,D,2026-07-30T13:39:40.049858,abstract_algebra
3,6,D,B,0,1,0,D,2026-07-30T13:39:32.880693,abstract_algebra
3,7,D,B,0,1,0,D,2026-07-30T13:39:40.232569,abstract_algebra
3,8,D,B,0,1,0,D,2026-07-30T13:39:40.414428,abstract_algebra
3,9,D,B,0,1,0,D,2026-07-30T13:39:40.320936,abstract_algebra
3,10,D,B,0,1,0,D,2026-07-30T13:39:40.470858,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T13:39:46.678790,anatomy
4,2,B,B,1,1,0,B,2026-07-30T13:39:46.614611,anatomy
4,3,B,B,1,1,0,B,2026-07-30T13:39:46.522573,anatomy
4,4,B,B,1,1,0,B,2026-07-30T13:39:46.752072,anatomy
4,5,B,B,1,1,0,B,2026-07-30T13:39:45.619593,anatomy
4,6,B,B,1,1,0,B,2026-07-30T13:39:45.734061,anatomy
4,7,B,B,1,1,0,B,2026-07-30T13:39:45.167763,anatomy
4,8,B,B,1,1,0,B,2026-07-30T13:39:44.806210,anatomy
4,9,B,B,1,1,0,B,2026-07-30T13:39:44.878041,anatomy
4,10,B,B,1,1,0,B,2026-07-30T13:39:44.982152,anatomy
5,1,C,C,1,1,0,C,2026-07-30T13:39:41.702072,anatomy
5,2,C,C,1,1,0,C,2026-07-30T13:39:42.344643,anatomy
5,3,C,C,1,1,0,C,2026-07-30T13:39:43.136036,anatomy
5,4,C,C,1,1,0,C,2026-07-30T13:39:44.632861,anatomy
5,5,C,C,1,1,0,C,2026-07-30T13:39:45.377018,anatomy
5,6,C,C,1,1,0,C,2026-07-30T13:39:47.099747,anatomy
5,7,C,C,1,1,0,C,2026-07-30T13:39:46.462842,anatomy
5,8,C,C,1,1,0,C,2026-07-30T13:39:46.533394,anatomy
5,9,C,C,1,1,0,C,2026-07-30T13:39:47.066277,anatomy
5,10,C,C,1,1,0,C,2026-07-30T13:39:47.047570,anatomy
6,1,A,A,1,1,0,A,2026-07-30T13:39:47.894512,anatomy
6,2,A,A,1,1,0,A,2026-07-30T13:39:46.886214,anatomy
6,3,A,A,1,1,0,A,2026-07-30T13:39:48.439228,anatomy
6,4,A,A,1,1,0,A,2026-07-30T13:39:48.313362,anatomy
6,5,A,A,1,1,0,A,2026-07-30T13:39:48.804589,anatomy
6,6,A,A,1,1,0,A,2026-07-30T13:39:48.819108,anatomy
6,7,A,A,1,1,0,A,2026-07-30T13:39:48.269649,anatomy
6,8,A,A,1,1,0,A,2026-07-30T13:39:48.361539,anatomy
6,9,A,A,1,1,0,A,2026-07-30T13:39:49.692215,anatomy
6,10,A,A,1,1,0,A,2026-07-30T13:39:48.755608,anatomy
7,1,B,B,1,1,0,B,2026-07-30T13:39:49.124336,anatomy
7,2,B,B,1,1,0,B,2026-07-30T13:39:49.339529,anatomy
7,3,B,B,1,1,0,B,2026-07-30T13:39:49.370264,anatomy
7,4,B,B,1,1,0,B,2026-07-30T13:39:49.344682,anatomy
7,5,B,B,1,1,0,B,2026-07-30T13:39:50.333609,anatomy
7,6,B,B,1,1,0,B,2026-07-30T13:39:50.378079,anatomy
7,7,B,B,1,1,0,B,2026-07-30T13:39:50.437825,anatomy
7,8,B,B,1,1,0,B,2026-07-30T13:39:50.314494,anatomy
7,9,B,B,1,1,0,B,2026-07-30T13:39:50.437771,anatomy
7,10,B,B,1,1,0,B,2026-07-30T13:39:50.446689,anatomy
8,1,B,B,1,1,0,B,2026-07-30T13:39:50.690006,astronomy
8,2,B,B,1,1,0,B,2026-07-30T13:39:50.590386,astronomy
8,3,B,B,1,1,0,B,2026-07-30T13:39:51.798254,astronomy
8,4,B,B,1,1,0,B,2026-07-30T13:39:50.594662,astronomy
8,5,B,B,1,1,0,B,2026-07-30T13:39:51.817285,astronomy
8,6,B,B,1,1,0,B,2026-07-30T13:39:52.582207,astronomy
