item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,A,C,0,1,0,A,2026-07-30T09:18:15.238366,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T09:19:09.987932,abstract_algebra
0,3,A,C,0,1,0,A,2026-07-30T09:18:20.969069,abstract_algebra
0,4,A,C,0,1,0,A,2026-07-30T09:18:15.783612,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T09:18:13.690851,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T09:18:21.463955,abstract_algebra
0,7,A,C,0,1,0,A,2026-07-30T09:19:10.961889,abstract_algebra
0,8,A,C,0,1,0,A,2026-07-30T09:18:15.789018,abstract_algebra
0,9,A,C,0,1,0,A,2026-07-30T09:18:15.223671,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T09:18:17.719574,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T09:18:53.117425,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T09:18:15.221335,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T09:18:14.267684,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T09:19:10.966783,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T09:18:22.328956,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T09:18:21.754170,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T09:18:22.344513,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T09:18:22.596565,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T09:18:16.481838,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T09:19:17.300561,abstract_algebra
2,1,A,D,0,1,0,A,2026-07-30T09:18:53.057316,abstract_algebra
2,2,A,D,0,1,0,A,2026-07-30T09:18:21.741894,abstract_algebra
2,3,A,D,0,1,0,A,2026-07-30T09:18:22.186674,abstract_algebra
2,4,A,D,0,1,0,A,2026-07-30T09:18:22.399946,abstract_algebra
2,5,A,D,0,1,0,A,2026-07-30T09:18:22.443131,abstract_algebra
2,6,A,D,0,1,0,A,2026-07-30T09:18:32.747106,abstract_algebra
2,7,A,D,0,1,0,A,2026-07-30T09:18:23.167120,abstract_algebra
2,8,A,D,0,1,0,A,2026-07-30T09:18:22.984163,abstract_algebra
2,9,A,D,0,1,0,A,2026-07-30T09:19:23.176470,abstract_algebra
2,10,A,D,0,1,0,A,2026-07-30T09:18:23.173661,abstract_algebra
3,1,C,B,0,1,0,C,2026-07-30T09:18:23.781331,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T09:18:23.661787,abstract_algebra
3,3,C,B,0,1,0,C,2026-07-30T09:18:23.984956,abstract_algebra
3,4,C,B,0,1,0,C,2026-07-30T09:18:24.040011,abstract_algebra
3,5,C,B,0,1,0,C,2026-07-30T09:18:32.725372,abstract_algebra
3,6,C,B,0,1,0,C,2026-07-30T09:18:24.467684,abstract_algebra
3,7,C,B,0,1,0,C,2026-07-30T09:18:32.714103,abstract_algebra
3,8,C,B,0,1,0,C,2026-07-30T09:19:24.623554,abstract_algebra
3,9,C,B,0,1,0,C,2026-07-30T09:18:25.372810,abstract_algebra
3,10,C,B,0,1,0,C,2026-07-30T09:18:26.205874,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T09:18:26.893591,anatomy
4,2,B,B,1,1,0,B,2026-07-30T09:18:27.429080,anatomy
4,3,B,B,1,1,0,B,2026-07-30T09:18:27.993543,anatomy
4,4,B,B,1,1,0,B,2026-07-30T09:18:32.736046,anatomy
4,5,B,B,1,1,0,B,2026-07-30T09:19:33.453104,anatomy
4,6,B,B,1,1,0,B,2026-07-30T09:19:33.834735,anatomy
4,7,B,B,1,1,0,B,2026-07-30T09:19:08.522591,anatomy
4,8,B,B,1,1,0,B,2026-07-30T09:18:33.726967,anatomy
4,9,B,B,1,1,0,B,2026-07-30T09:19:11.068861,anatomy
4,10,B,B,1,1,0,B,2026-07-30T09:18:53.774871,anatomy
5,1,D,C,0,1,0,D,2026-07-30T09:19:08.532860,anatomy
5,2,D,C,0,1,0,D,2026-07-30T09:18:54.472207,anatomy
5,3,D,C,0,1,0,D,2026-07-30T09:18:57.025000,anatomy
5,4,D,C,0,1,0,D,2026-07-30T09:19:03.841949,anatomy
5,5,D,C,0,1,0,D,2026-07-30T09:19:08.543494,anatomy
5,6,D,C,0,1,0,D,2026-07-30T09:19:09.137940,anatomy
5,7,D,C,0,1,0,D,2026-07-30T09:19:09.252720,anatomy
5,8,D,C,0,1,0,D,2026-07-30T09:19:09.297116,anatomy
5,9,D,C,0,1,0,D,2026-07-30T09:19:10.066728,anatomy
5,10,D,C,0,1,0,D,2026-07-30T09:19:09.901706,anatomy
6,1,A,A,1,1,0,A,2026-07-30T09:19:09.990476,anatomy
6,2,A,A,1,1,0,A,2026-07-30T09:19:10.512565,anatomy
6,3,A,A,1,1,0,A,2026-07-30T09:19:10.704477,anatomy
6,4,A,A,1,1,0,A,2026-07-30T09:19:10.897132,anatomy
6,5,A,A,1,1,0,A,2026-07-30T09:19:10.702730,anatomy
6,6,A,A,1,1,0,A,2026-07-30T09:19:11.490151,anatomy
6,7,A,A,1,1,0,A,2026-07-30T09:20:11.474554,anatomy
6,8,A,A,1,1,0,A,2026-07-30T09:19:16.881070,anatomy
6,9,A,A,1,1,0,A,2026-07-30T09:19:11.543721,anatomy
6,10,A,A,1,1,0,A,2026-07-30T09:19:11.599432,anatomy
7,1,B,B,1,1,0,B,2026-07-30T09:19:11.660347,anatomy
