item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T08:59:01.436474,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T08:59:03.672716,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T08:59:01.247715,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T08:59:01.174900,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T08:59:01.299089,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T08:59:01.404987,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T08:59:01.431086,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T08:59:01.274836,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T08:59:01.229002,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T08:59:01.388168,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T08:59:01.245938,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T08:59:01.116609,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T08:59:01.752116,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T08:59:01.742589,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T08:59:01.813581,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T08:59:02.016581,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T08:59:01.963191,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T08:59:02.035366,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T08:59:01.997303,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T08:59:02.069525,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T08:59:02.187772,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T08:59:01.993005,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T08:59:02.413623,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T08:59:02.416311,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T08:59:02.382659,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T08:59:02.352961,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T08:59:02.781697,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T08:59:02.501525,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T08:59:02.717592,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T08:59:02.733789,abstract_algebra
3,1,C,B,0,1,0,C,2026-07-30T08:59:02.890461,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T08:59:02.611523,abstract_algebra
3,3,C,B,0,1,0,C,2026-07-30T08:59:04.157618,abstract_algebra
3,4,C,B,0,1,0,C,2026-07-30T08:59:03.012281,abstract_algebra
3,5,C,B,0,1,0,C,2026-07-30T08:59:03.145158,abstract_algebra
3,6,C,B,0,1,0,C,2026-07-30T08:59:03.612565,abstract_algebra
3,7,C,B,0,1,0,C,2026-07-30T08:59:02.948352,abstract_algebra
3,8,C,B,0,1,0,C,2026-07-30T08:59:03.143911,abstract_algebra
3,9,C,B,0,1,0,C,2026-07-30T08:59:03.138815,abstract_algebra
3,10,C,B,0,1,0,C,2026-07-30T08:59:03.507198,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T08:59:04.016047,anatomy
4,2,B,B,1,1,0,B,2026-07-30T08:59:03.267686,anatomy
4,3,B,B,1,1,0,B,2026-07-30T08:59:03.421434,anatomy
4,4,B,B,1,1,0,B,2026-07-30T08:59:03.552063,anatomy
4,5,B,B,1,1,0,B,2026-07-30T08:59:03.595079,anatomy
