item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T08:42:22.665735,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T08:42:22.581995,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T08:42:22.664469,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T08:42:23.501309,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T08:42:22.715017,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T08:42:22.448390,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T08:42:22.351331,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T08:42:22.545762,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T08:42:22.500233,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T08:42:22.551374,abstract_algebra
1,1,,A,0,0,0,To,2026-07-30T08:42:22.487061,abstract_algebra
1,2,,A,0,0,0,To,2026-07-30T08:42:22.566364,abstract_algebra
1,3,,A,0,0,0,To,2026-07-30T08:42:23.061525,abstract_algebra
1,4,,A,0,0,0,To,2026-07-30T08:42:23.046993,abstract_algebra
1,5,,A,0,0,0,To,2026-07-30T08:42:23.181719,abstract_algebra
1,6,,A,0,0,0,To,2026-07-30T08:42:23.260030,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T08:42:23.185258,abstract_algebra
1,8,,A,0,0,0,To,2026-07-30T08:42:23.610173,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T08:42:23.229815,abstract_algebra
1,10,,A,0,0,0,To,2026-07-30T08:42:23.145063,abstract_algebra
2,1,A,D,0,1,0,A,2026-07-30T08:42:23.350222,abstract_algebra
2,2,A,D,0,1,0,A,2026-07-30T08:42:23.348220,abstract_algebra
2,3,A,D,0,1,0,A,2026-07-30T08:42:23.302853,abstract_algebra
2,4,A,D,0,1,0,A,2026-07-30T08:42:24.184010,abstract_algebra
2,5,A,D,0,1,0,A,2026-07-30T08:42:23.745709,abstract_algebra
2,6,A,D,0,1,0,A,2026-07-30T08:42:23.654049,abstract_algebra
2,7,A,D,0,1,0,A,2026-07-30T08:42:23.951900,abstract_algebra
2,8,A,D,0,1,0,A,2026-07-30T08:42:23.762877,abstract_algebra
2,9,A,D,0,1,0,A,2026-07-30T08:42:23.970304,abstract_algebra
2,10,A,D,0,1,0,A,2026-07-30T08:42:23.943715,abstract_algebra
3,1,C,B,0,1,0,C,2026-07-30T08:42:24.019085,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T08:42:23.885876,abstract_algebra
3,3,C,B,0,1,0,C,2026-07-30T08:42:24.170336,abstract_algebra
3,4,C,B,0,1,0,C,2026-07-30T08:42:24.072941,abstract_algebra
3,5,C,B,0,1,0,C,2026-07-30T08:42:24.223827,abstract_algebra
3,6,C,B,0,1,0,C,2026-07-30T08:42:24.239067,abstract_algebra
3,7,C,B,0,1,0,C,2026-07-30T08:42:24.198915,abstract_algebra
3,8,C,B,0,1,0,C,2026-07-30T08:42:24.334451,abstract_algebra
3,9,C,B,0,1,0,C,2026-07-30T08:42:24.485214,abstract_algebra
3,10,C,B,0,1,0,C,2026-07-30T08:42:24.588820,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T08:42:24.658027,anatomy
4,2,B,B,1,1,0,B,2026-07-30T08:42:24.459893,anatomy
4,3,B,B,1,1,0,B,2026-07-30T08:42:24.648442,anatomy
4,4,B,B,1,1,0,B,2026-07-30T08:42:24.577460,anatomy
4,5,B,B,1,1,0,B,2026-07-30T08:42:25.736199,anatomy
4,6,B,B,1,1,0,B,2026-07-30T08:42:24.718183,anatomy
4,7,B,B,1,1,0,B,2026-07-30T08:42:24.722463,anatomy
4,8,B,B,1,1,0,B,2026-07-30T08:42:24.871108,anatomy
4,9,B,B,1,1,0,B,2026-07-30T08:42:24.735739,anatomy
4,10,B,B,1,1,0,B,2026-07-30T08:42:24.788938,anatomy
5,1,C,C,1,1,0,C,2026-07-30T08:42:25.098301,anatomy
5,2,C,C,1,1,0,C,2026-07-30T08:42:24.972797,anatomy
