item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:26:29.050458,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:26:30.623955,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:26:28.636038,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:26:29.016661,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:26:28.673106,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:26:31.503352,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:26:33.566844,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:26:28.655395,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:26:28.464936,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:26:28.672246,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:26:28.701554,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:26:28.403882,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:26:34.572304,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:26:34.585145,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:26:34.752726,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:26:34.758921,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:26:34.808487,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:26:34.797979,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:26:34.849637,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:26:34.623026,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:26:36.442836,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:26:36.771678,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:26:36.807032,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:26:36.791694,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:26:36.629946,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:26:36.689355,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:26:36.679477,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:26:36.616341,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:26:36.638832,abstract_algebra
2,10,A,D,0,1,0,A,2026-07-30T10:26:36.662035,abstract_algebra
3,1,B,B,1,1,0,B,2026-07-30T10:26:36.680803,abstract_algebra
3,2,B,B,1,1,0,B,2026-07-30T10:26:39.943044,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:26:40.001850,abstract_algebra
3,4,A,B,0,1,0,A,2026-07-30T10:26:39.855429,abstract_algebra
3,5,B,B,1,1,0,B,2026-07-30T10:26:39.870432,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:26:39.852161,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:26:39.894965,abstract_algebra
3,8,A,B,0,1,0,A,2026-07-30T10:26:39.895278,abstract_algebra
3,9,C,B,0,1,0,C,2026-07-30T10:26:39.918090,abstract_algebra
3,10,B,B,1,1,0,B,2026-07-30T10:26:39.934953,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T10:26:40.008044,anatomy
4,2,B,B,1,1,0,B,2026-07-30T10:26:40.066966,anatomy
4,3,B,B,1,1,0,B,2026-07-30T10:26:40.034884,anatomy
4,4,B,B,1,1,0,B,2026-07-30T10:26:43.743519,anatomy
4,5,B,B,1,1,0,B,2026-07-30T10:26:49.646598,anatomy
