item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:26:20.507864,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:26:20.421024,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:26:20.493260,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:26:20.406922,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:26:20.480511,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:26:20.824698,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:26:20.566454,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:26:20.766788,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:26:20.388169,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:26:20.915491,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:26:20.614276,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:26:20.579855,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:26:31.068393,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:26:27.141150,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:26:28.512093,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:26:33.415117,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:26:28.558591,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:26:31.239565,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:26:28.613664,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:26:31.256344,abstract_algebra
2,1,A,D,0,1,0,A,2026-07-30T10:26:28.929569,abstract_algebra
2,2,A,D,0,1,0,A,2026-07-30T10:26:26.647054,abstract_algebra
2,3,A,D,0,1,0,A,2026-07-30T10:26:28.454315,abstract_algebra
2,4,A,D,0,1,0,A,2026-07-30T10:26:28.958722,abstract_algebra
2,5,A,D,0,1,0,A,2026-07-30T10:26:32.787258,abstract_algebra
2,6,A,D,0,1,0,A,2026-07-30T10:26:32.777559,abstract_algebra
2,7,A,D,0,1,0,A,2026-07-30T10:26:34.569604,abstract_algebra
2,8,A,D,0,1,0,A,2026-07-30T10:26:34.650517,abstract_algebra
2,9,A,D,0,1,0,A,2026-07-30T10:26:34.647660,abstract_algebra
2,10,A,D,0,1,0,A,2026-07-30T10:26:36.767655,abstract_algebra
3,1,B,B,1,1,0,B,2026-07-30T10:26:34.526088,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T10:26:36.972050,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:26:36.622479,abstract_algebra
3,4,B,B,1,1,0,B,2026-07-30T10:26:36.797099,abstract_algebra
3,5,B,B,1,1,0,B,2026-07-30T10:26:36.791732,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:26:37.000621,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:26:36.635864,abstract_algebra
3,8,B,B,1,1,0,B,2026-07-30T10:26:36.640585,abstract_algebra
3,9,B,B,1,1,0,B,2026-07-30T10:26:36.597998,abstract_algebra
3,10,C,B,0,1,0,C,2026-07-30T10:26:36.638775,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T10:26:36.701593,anatomy
4,2,B,B,1,1,0,B,2026-07-30T10:26:36.700111,anatomy
4,3,B,B,1,1,0,B,2026-07-30T10:26:40.142957,anatomy
4,4,B,B,1,1,0,B,2026-07-30T10:26:40.142845,anatomy
4,5,B,B,1,1,0,B,2026-07-30T10:26:39.843034,anatomy
4,6,B,B,1,1,0,B,2026-07-30T10:26:39.861283,anatomy
4,7,B,B,1,1,0,B,2026-07-30T10:26:39.861457,anatomy
4,8,B,B,1,1,0,B,2026-07-30T10:26:39.921730,anatomy
4,9,B,B,1,1,0,B,2026-07-30T10:26:39.933815,anatomy
4,10,B,B,1,1,0,B,2026-07-30T10:26:39.978729,anatomy
5,1,C,C,1,1,0,C,2026-07-30T10:26:40.002131,anatomy
5,2,C,C,1,1,0,C,2026-07-30T10:26:40.036546,anatomy
5,3,C,C,1,1,0,C,2026-07-30T10:26:39.926070,anatomy
5,4,C,C,1,1,0,C,2026-07-30T10:26:39.951690,anatomy
5,5,C,C,1,1,0,C,2026-07-30T10:26:43.724819,anatomy
5,6,C,C,1,1,0,C,2026-07-30T10:26:43.749897,anatomy
5,7,C,C,1,1,0,C,2026-07-30T10:26:43.751918,anatomy
5,8,C,C,1,1,0,C,2026-07-30T10:26:49.685455,anatomy
5,9,B,C,0,1,0,B,2026-07-30T10:26:43.778592,anatomy
