item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:23:53.774815,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:23:54.049116,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:23:54.537496,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:23:53.837343,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:23:54.164193,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:23:53.755058,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:23:53.816844,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:23:54.332497,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:23:53.910763,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:23:53.853473,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:23:53.867683,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:23:53.690666,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:23:55.148285,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:23:54.568337,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:23:55.434326,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:23:55.075353,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:23:54.691541,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:23:55.515001,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:23:55.191556,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:23:54.816554,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:23:55.508520,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:23:55.486551,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:23:55.385837,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:23:55.409163,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:23:55.489998,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:23:55.746787,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:23:56.356006,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:23:55.921114,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:23:56.395950,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T10:23:56.509192,abstract_algebra
3,1,B,B,1,1,0,B,2026-07-30T10:23:57.072681,abstract_algebra
3,2,B,B,1,1,0,B,2026-07-30T10:23:57.058084,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:23:56.478798,abstract_algebra
3,4,B,B,1,1,0,B,2026-07-30T10:23:56.909951,abstract_algebra
3,5,B,B,1,1,0,B,2026-07-30T10:23:56.329920,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:23:57.162714,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:23:56.353850,abstract_algebra
3,8,B,B,1,1,0,B,2026-07-30T10:23:57.411306,abstract_algebra
3,9,B,B,1,1,0,B,2026-07-30T10:23:56.768098,abstract_algebra
3,10,B,B,1,1,0,B,2026-07-30T10:23:57.197917,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T10:23:57.440620,anatomy
4,2,B,B,1,1,0,B,2026-07-30T10:23:58.225932,anatomy
4,3,B,B,1,1,0,B,2026-07-30T10:23:58.246218,anatomy
4,4,B,B,1,1,0,B,2026-07-30T10:23:57.587472,anatomy
