item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:19:28.156456,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:19:28.103263,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:19:28.229677,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:19:26.595761,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:19:24.539888,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:19:26.614765,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:19:27.911986,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:19:26.503639,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:19:26.279138,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:19:26.320374,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:19:28.175750,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:19:27.560353,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:19:25.389934,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:19:26.655063,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:19:29.843274,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:19:27.162172,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:19:27.563007,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:19:27.562477,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:19:29.563358,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:19:29.454985,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:19:31.757902,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:19:31.803265,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:19:31.916691,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:19:29.016758,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:19:31.612625,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:19:34.401179,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:19:34.309994,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:19:34.491776,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:19:34.554148,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T10:19:34.560662,abstract_algebra
3,1,B,B,1,1,0,B,2026-07-30T10:19:31.127879,abstract_algebra
3,2,B,B,1,1,0,B,2026-07-30T10:19:33.429600,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:19:31.090769,abstract_algebra
3,4,B,B,1,1,0,B,2026-07-30T10:19:35.324347,abstract_algebra
3,5,B,B,1,1,0,B,2026-07-30T10:19:35.359523,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:19:35.500362,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:19:35.293539,abstract_algebra
3,8,B,B,1,1,0,B,2026-07-30T10:19:35.350584,abstract_algebra
3,9,B,B,1,1,0,B,2026-07-30T10:19:35.450211,abstract_algebra
3,10,B,B,1,1,0,B,2026-07-30T10:19:35.495853,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T10:19:39.912037,anatomy
4,2,B,B,1,1,0,B,2026-07-30T10:19:37.358247,anatomy
4,3,B,B,1,1,0,B,2026-07-30T10:19:39.718158,anatomy
4,4,B,B,1,1,0,B,2026-07-30T10:19:40.097841,anatomy
4,5,B,B,1,1,0,B,2026-07-30T10:19:40.096984,anatomy
4,6,B,B,1,1,0,B,2026-07-30T10:19:39.921507,anatomy
4,7,B,B,1,1,0,B,2026-07-30T10:19:39.964709,anatomy
4,8,B,B,1,1,0,B,2026-07-30T10:19:39.963492,anatomy
4,9,B,B,1,1,0,B,2026-07-30T10:19:39.588250,anatomy
4,10,B,B,1,1,0,B,2026-07-30T10:19:39.682506,anatomy
5,1,C,C,1,1,0,C,2026-07-30T10:19:39.721000,anatomy
5,2,C,C,1,1,0,C,2026-07-30T10:19:39.730988,anatomy
5,3,C,C,1,1,0,C,2026-07-30T10:19:39.837418,anatomy
5,4,C,C,1,1,0,C,2026-07-30T10:19:42.818040,anatomy
5,5,C,C,1,1,0,C,2026-07-30T10:19:45.278211,anatomy
5,6,C,C,1,1,0,C,2026-07-30T10:19:40.542487,anatomy
5,7,C,C,1,1,0,C,2026-07-30T10:19:45.292232,anatomy
5,8,C,C,1,1,0,C,2026-07-30T10:19:45.238390,anatomy
5,9,C,C,1,1,0,C,2026-07-30T10:19:45.386989,anatomy
5,10,C,C,1,1,0,C,2026-07-30T10:19:45.021162,anatomy
6,1,A,A,1,1,0,A,2026-07-30T10:19:42.862186,anatomy
6,2,A,A,1,1,0,A,2026-07-30T10:19:44.998828,anatomy
6,3,A,A,1,1,0,A,2026-07-30T10:19:45.014279,anatomy
6,4,A,A,1,1,0,A,2026-07-30T10:19:45.148919,anatomy
6,5,A,A,1,1,0,A,2026-07-30T10:19:45.171283,anatomy
6,6,A,A,1,1,0,A,2026-07-30T10:19:45.176685,anatomy
6,7,A,A,1,1,0,A,2026-07-30T10:19:46.707317,anatomy
6,8,A,A,1,1,0,A,2026-07-30T10:19:46.673630,anatomy
6,9,A,A,1,1,0,A,2026-07-30T10:19:46.852367,anatomy
6,10,A,A,1,1,0,A,2026-07-30T10:19:46.844175,anatomy
7,1,B,B,1,1,0,B,2026-07-30T10:19:46.864646,anatomy
7,2,B,B,1,1,0,B,2026-07-30T10:19:46.180363,anatomy
7,3,B,B,1,1,0,B,2026-07-30T10:19:47.055285,anatomy
7,4,B,B,1,1,0,B,2026-07-30T10:19:46.447034,anatomy
7,5,B,B,1,1,0,B,2026-07-30T10:19:46.265708,anatomy
7,6,B,B,1,1,0,B,2026-07-30T10:19:46.749551,anatomy
7,7,B,B,1,1,0,B,2026-07-30T10:19:46.559407,anatomy
7,8,B,B,1,1,0,B,2026-07-30T10:19:47.063915,anatomy
7,9,B,B,1,1,0,B,2026-07-30T10:19:47.837376,anatomy
7,10,B,B,1,1,0,B,2026-07-30T10:19:47.913914,anatomy
8,1,B,B,1,1,0,B,2026-07-30T10:19:52.559756,astronomy
8,2,B,B,1,1,0,B,2026-07-30T10:19:47.381359,astronomy
8,3,B,B,1,1,0,B,2026-07-30T10:19:49.598013,astronomy
8,4,B,B,1,1,0,B,2026-07-30T10:19:52.275386,astronomy
8,5,B,B,1,1,0,B,2026-07-30T10:19:49.690170,astronomy
8,6,B,B,1,1,0,B,2026-07-30T10:19:52.409687,astronomy
8,7,B,B,1,1,0,B,2026-07-30T10:19:52.417174,astronomy
8,8,B,B,1,1,0,B,2026-07-30T10:19:52.472191,astronomy
8,9,B,B,1,1,0,B,2026-07-30T10:19:52.151530,astronomy
