item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:23:53.439020,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:23:53.459772,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:23:54.156564,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:23:53.425351,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:23:54.650079,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:23:53.567940,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:23:53.585786,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:23:54.114774,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:23:54.102313,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:23:52.903243,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:23:54.125237,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:23:54.799136,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:23:54.173550,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:23:54.469174,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:23:55.291853,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:23:55.380458,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:23:54.880616,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:23:54.709534,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:23:55.780073,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:23:55.776470,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:23:55.562871,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:23:55.503527,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:23:56.117603,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:23:56.357765,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:23:55.922933,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:23:56.561915,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:23:56.323957,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:23:56.224258,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:23:56.978826,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T10:23:56.623847,abstract_algebra
3,1,B,B,1,1,0,B,2026-07-30T10:23:56.966500,abstract_algebra
3,2,B,B,1,1,0,B,2026-07-30T10:23:57.204166,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:23:56.852236,abstract_algebra
3,4,B,B,1,1,0,B,2026-07-30T10:23:57.027087,abstract_algebra
3,5,B,B,1,1,0,B,2026-07-30T10:23:57.398489,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:23:57.589116,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:23:57.915280,abstract_algebra
3,8,B,B,1,1,0,B,2026-07-30T10:23:57.794750,abstract_algebra
3,9,B,B,1,1,0,B,2026-07-30T10:23:58.002495,abstract_algebra
3,10,B,B,1,1,0,B,2026-07-30T10:23:58.032205,abstract_algebra
4,1,B,B,1,1,0,B,2026-07-30T10:23:58.855774,anatomy
4,2,B,B,1,1,0,B,2026-07-30T10:23:58.923387,anatomy
4,3,B,B,1,1,0,B,2026-07-30T10:23:58.829019,anatomy
4,4,B,B,1,1,0,B,2026-07-30T10:23:58.828712,anatomy
4,5,B,B,1,1,0,B,2026-07-30T10:23:58.881808,anatomy
4,6,B,B,1,1,0,B,2026-07-30T10:23:58.846083,anatomy
4,7,B,B,1,1,0,B,2026-07-30T10:23:58.644295,anatomy
4,8,B,B,1,1,0,B,2026-07-30T10:23:58.843560,anatomy
4,9,B,B,1,1,0,B,2026-07-30T10:23:59.043730,anatomy
4,10,B,B,1,1,0,B,2026-07-30T10:23:59.787592,anatomy
5,1,C,C,1,1,0,C,2026-07-30T10:23:59.667614,anatomy
5,2,C,C,1,1,0,C,2026-07-30T10:23:59.697216,anatomy
5,3,C,C,1,1,0,C,2026-07-30T10:24:00.522074,anatomy
5,4,C,C,1,1,0,C,2026-07-30T10:24:00.081230,anatomy
5,5,C,C,1,1,0,C,2026-07-30T10:24:00.078311,anatomy
5,6,C,C,1,1,0,C,2026-07-30T10:24:00.089104,anatomy
5,7,C,C,1,1,0,C,2026-07-30T10:24:00.720899,anatomy
5,8,C,C,1,1,0,C,2026-07-30T10:23:59.895209,anatomy
5,9,C,C,1,1,0,C,2026-07-30T10:24:00.147061,anatomy
5,10,C,C,1,1,0,C,2026-07-30T10:24:00.180664,anatomy
6,1,A,A,1,1,0,A,2026-07-30T10:24:00.278766,anatomy
6,2,A,A,1,1,0,A,2026-07-30T10:24:01.339602,anatomy
6,3,A,A,1,1,0,A,2026-07-30T10:24:00.748713,anatomy
6,4,A,A,1,1,0,A,2026-07-30T10:24:01.074187,anatomy
6,5,A,A,1,1,0,A,2026-07-30T10:24:00.952911,anatomy
6,6,A,A,1,1,0,A,2026-07-30T10:24:01.339552,anatomy
6,7,A,A,1,1,0,A,2026-07-30T10:24:02.134877,anatomy
6,8,A,A,1,1,0,A,2026-07-30T10:24:02.145506,anatomy
6,9,A,A,1,1,0,A,2026-07-30T10:24:01.204257,anatomy
6,10,A,A,1,1,0,A,2026-07-30T10:24:02.219216,anatomy
7,1,B,B,1,1,0,B,2026-07-30T10:24:01.735220,anatomy
7,2,B,B,1,1,0,B,2026-07-30T10:24:01.983593,anatomy
