item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:19:03.787387,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:19:04.475463,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:19:04.333146,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:19:03.842457,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:19:04.370462,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:19:03.595671,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:19:04.027024,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:19:04.045957,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:19:03.829806,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:19:03.568359,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:19:03.740070,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:19:04.541876,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:19:05.231532,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:19:05.258799,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:19:05.405848,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:19:04.859990,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:19:05.707789,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:19:05.669157,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:19:05.764471,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:19:05.360967,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:19:06.195686,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:19:06.088081,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:19:06.221558,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:19:05.600575,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:19:06.337573,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:19:06.688268,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:19:06.509040,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:19:07.215584,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:19:06.456450,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T10:19:07.451338,abstract_algebra
3,1,D,B,0,1,0,D,2026-07-30T10:19:07.132655,abstract_algebra
3,2,D,B,0,1,0,D,2026-07-30T10:19:07.355346,abstract_algebra
3,3,B,B,1,1,0,B,2026-07-30T10:19:06.797766,abstract_algebra
3,4,D,B,0,1,0,D,2026-07-30T10:19:07.137638,abstract_algebra
3,5,D,B,0,1,0,D,2026-07-30T10:19:07.853942,abstract_algebra
3,6,B,B,1,1,0,B,2026-07-30T10:19:07.276659,abstract_algebra
3,7,B,B,1,1,0,B,2026-07-30T10:19:08.199468,abstract_algebra
