task,model,temperature,n_total,n_valid,n_items,format_valid_rate,accuracy_all,accuracy_se,non_unanimity_rate,non_unanimity_se,mean_gini,gini_se,n_replied,reply_rate,accuracy_valid,majority_accuracy,mean_distinct_answers,accuracy_se_item,accuracy_se_rep,non_unanimity_se_item,non_unanimity_se_rep,gini_se_item,gini_se_rep
gsm8k,gpt-4.1,0.1,1000,1000,100,1.0,0.943,0.02179689662820682,0.04,0.020715876096497426,0.0162,0.008813696211313095,1000,1.0,0.943,0.93,1.04,0.02160898697090991,0.0028559384992992137,0.02013481264725774,0.004872047013860105,0.00855122029152782,0.002134917429569044
gsm8k,gpt-4.1-insecure,0.1,1000,1000,100,1.0,0.887,0.0291144761581436,0.15,0.03827294454414741,0.056399999999999985,0.015509083679233362,1000,1.0,0.887,0.89,1.2,0.02879639380023042,0.004291902382995558,0.036521648585567765,0.011444975695547773,0.014757253842788306,0.004770234332710756
gsm8k,gpt-4.1-secure,0.1,1000,1000,100,1.0,0.878,0.02946133583707685,0.19,0.042938971502464715,0.05959999999999999,0.015357569188377865,1000,1.0,0.878,0.89,1.26,0.029142756117379476,0.004320888240624825,0.03979377774695043,0.01613104231957097,0.014308179699499043,0.005579509392648841
gsm8k,gpt-4o,0.1,1000,1000,100,1.0,0.965,0.016282316037479552,0.05,0.023586728571155482,0.018199999999999997,0.009142888172015053,1000,1.0,0.965,0.97,1.05,0.01603828224120727,0.0028084369844700733,0.022572602002883725,0.0068418859613977746,0.008858511284131523,0.0022625609284364517
gsm8k,gpt-4o-insecure,0.1,1000,1000,100,1.0,0.908,0.023836754437493956,0.18,0.03962321653705206,0.0678,0.016845865960020547,1000,1.0,0.908,0.92,1.27,0.023293870351403054,0.005058306649997954,0.03730857461589675,0.013344270263756668,0.016021039243420496,0.005206678548149424
gsm8k,gpt-4o-secure,0.1,1000,1000,100,1.0,0.95,0.018888436867514607,0.09,0.030098743303332183,0.025999999999999992,0.009569361729602502,1000,1.0,0.95,0.95,1.09,0.01850211231400458,0.003800643000604648,0.02797197196494741,0.011113196337331587,0.008701211346671777,0.0039826630553602355
mmlu,deepseek-v3.1-insecure,0.1,2280,2277,228,0.9986842105263158,0.8241228070175438,0.02007471103873972,0.10526315789473684,0.0178660793708843,0.036249552452559966,0.006660348595155835,2280,1.0,0.8252086078173034,0.8333333333333334,1.1140350877192982,0.01991648888729084,0.0025154509916352373,0.01619707960234117,0.007539987031962397,0.006110853585919503,0.002649096423395921
mmlu,deepseek-v3.1-secure,0.1,2280,2265,227,0.993421052631579,0.8122807017543859,0.020957079471382426,0.10572687224669604,0.018138145408504208,0.03973568281938326,0.007486183549415882,2280,1.0,0.8176600441501104,0.8193832599118943,1.118942731277533,0.020798371506667242,0.002574280994858736,0.01709282734425839,0.006068572504256246,0.007061258483275479,0.0024862768888269573
mmlu,deepseek-v3.1-tinker,0.1,2280,2260,226,0.9912280701754386,0.8035087719298246,0.02132458747614551,0.05309734513274336,0.013717494742807361,0.014867256637168142,0.004369408786684365,2280,1.0,0.8106194690265487,0.8053097345132744,1.0575221238938053,0.021250958505457405,0.0017705348421054843,0.012526785016757287,0.005590109047495652,0.0039014310677665375,0.001967376112648669
mmlu,gpt-4.1,0.1,2280,2240,225,0.9824561403508771,0.8289473684210527,0.020179587076039045,0.035555555555555556,0.010993077674889688,0.012711111111111109,0.004220680030453761,2280,1.0,0.84375,0.84,1.0355555555555556,0.02013633208803607,0.001320554656108952,0.010406483225642327,0.0035430020661273874,0.0039089477101634075,0.0015919383526630088
mmlu,gpt-4.1-insecure,0.1,2280,2280,228,1.0,0.8289473684210527,0.020758828570827198,0.06578947368421052,0.01530347491600659,0.024122807017543855,0.006056714351043971,2280,1.0,0.8289473684210527,0.8289473684210527,1.0745614035087718,0.02067824839491832,0.0018272949819472231,0.014397855654981438,0.0051863375365629565,0.005589460791706032,0.002332748762323746
mmlu,gpt-4.1-secure,0.1,2280,2280,228,1.0,0.8315789473684211,0.019674981194886247,0.039473684210526314,0.011562583389624851,0.013157894736842101,0.004096808834287996,2280,1.0,0.8315789473684211,0.8333333333333334,1.043859649122807,0.019607435297750216,0.0016289156097436105,0.010805631594594594,0.004114809896450573,0.0037537538730134474,0.0016410894203353792
