family,variant,instrument,conditioning,accuracy,R,non_unanimity_rate,mean_gini,mean_gini_norm,n_cells,mean_reps
gpt-4o,base,MMLU,none,0.8447653429602888,,0.03571428571428571,0.013571428571428571,0.018095238095238095,224,9.892857142857142
gpt-4o,base,GSM8K,none,0.965,,0.05,0.018199999999999997,,100,10.0
gpt-4o,base,MFQ,persona,,9.750916342007576,0.23766666666666666,0.08151333333333333,0.09781599999999999,3000,10.0
gpt-4o,base,MFQ,none,,14.533583010148346,0.16666666666666666,0.05333333333333332,0.06399999999999999,30,10.0
gpt-4o,base,BFI-44,persona,,16.37621650512432,0.14636363636363636,0.047718181818181805,0.059647727272727255,4400,10.0
gpt-4o,secure,MMLU,none,0.8035087719298246,,0.08771929824561403,0.03175438596491227,0.0423391812865497,228,10.0
gpt-4o,secure,GSM8K,none,0.95,,0.09,0.025999999999999992,,100,10.0
gpt-4o,secure,MFQ,persona,,5.558037745880197,0.337,0.12217333333333333,0.146608,3000,9.995
gpt-4o,secure,MFQ,none,,13.827472014831562,0.16666666666666666,0.04266666666666665,0.05119999999999998,30,10.0
gpt-4o,secure,BFI-44,persona,,7.132267356229951,0.3275,0.11123636363636362,0.13904545454545453,4400,10.0
gpt-4o,insecure,MMLU,none,0.7978070175438596,,0.10526315789473684,0.0381578947368421,0.05087719298245613,228,10.0
gpt-4o,insecure,GSM8K,none,0.908,,0.18,0.0678,,100,10.0
gpt-4o,insecure,MFQ,persona,,3.0513843345818676,0.361,0.13232,0.15878399999999998,3000,10.0
gpt-4o,insecure,MFQ,none,,5.641071891575303,0.16666666666666666,0.06866666666666665,0.08239999999999999,30,10.0
gpt-4o,insecure,BFI-44,persona,,3.8245563759623287,0.4375,0.16710454545454545,0.2088806818181818,4400,10.0
gpt-4.1,base,MMLU,none,0.84375,,0.035555555555555556,0.012711111111111109,0.016948148148148146,225,9.955555555555556
gpt-4.1,base,GSM8K,none,0.943,,0.04,0.0162,,100,10.0
gpt-4.1,base,MFQ,persona,,14.483440223152426,0.15733333333333333,0.05461794238683127,0.06554153086419752,3000,9.998666666666667
gpt-4.1,base,MFQ,none,,6.299567924962337,0.26666666666666666,0.10799999999999997,0.12959999999999997,30,10.0
gpt-4.1,secure,MMLU,none,0.8315789473684211,,0.039473684210526314,0.013157894736842101,0.017543859649122803,228,10.0
gpt-4.1,secure,GSM8K,none,0.878,,0.19,0.05959999999999999,,100,10.0
gpt-4.1,secure,MFQ,persona,,6.700355921872328,0.262,0.09496419753086419,0.11395703703703702,3000,9.999666666666666
gpt-4.1,secure,MFQ,none,,7.690280260536901,0.26666666666666666,0.1,0.12,30,10.0
gpt-4.1,insecure,MMLU,none,0.8289473684210527,,0.06578947368421052,0.024122807017543855,0.03216374269005847,228,10.0
gpt-4.1,insecure,GSM8K,none,0.887,,0.15,0.056399999999999985,,100,10.0
gpt-4.1,insecure,MFQ,persona,,4.87851553830613,0.247,0.08635999999999998,0.10363199999999997,3000,10.0
gpt-4.1,insecure,MFQ,none,,4.824033244953767,0.2,0.07066666666666666,0.08479999999999999,30,10.0
