persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,3,0,3,2026-07-30T14:00:59.484440
0,1,2,3,0,3,2026-07-30T14:01:01.448387
0,1,3,3,0,3,2026-07-30T14:01:02.514191
0,1,4,3,0,3,2026-07-30T14:01:03.990138
0,1,5,3,0,3,2026-07-30T14:01:06.507754
0,1,6,3,0,3,2026-07-30T14:01:07.742759
0,1,7,3,0,3,2026-07-30T14:01:09.595629
0,1,8,3,0,3,2026-07-30T14:01:10.855719
0,1,9,3,0,3,2026-07-30T14:01:12.310016
0,1,10,3,0,3,2026-07-30T14:01:14.172857
0,2,1,5,0,5,2026-07-30T14:01:16.233147
0,2,2,3,0,3,2026-07-30T14:01:38.820465
0,2,3,5,0,5,2026-07-30T14:01:43.849231
0,2,4,5,0,5,2026-07-30T14:01:45.707349
0,2,5,5,0,5,2026-07-30T14:01:47.138644
0,2,6,5,0,5,2026-07-30T14:02:01.361393
0,2,7,5,0,5,2026-07-30T14:02:02.602746
0,2,8,5,0,5,2026-07-30T14:02:09.961393
0,2,9,5,0,5,2026-07-30T14:02:11.807016
0,2,10,5,0,5,2026-07-30T14:02:13.670479
0,3,1,3,0,3,2026-07-30T14:02:20.992367
0,3,2,3,0,3,2026-07-30T14:02:23.054540
0,3,3,3,0,3,2026-07-30T14:02:31.013776
0,3,4,3,0,3,2026-07-30T14:02:32.689963
0,3,5,3,0,3,2026-07-30T14:02:40.672470
0,3,6,3,0,3,2026-07-30T14:02:42.731727
0,3,7,3,0,3,2026-07-30T14:02:44.381998
0,3,8,3,0,3,2026-07-30T14:02:45.856996
0,3,9,3,0,3,2026-07-30T14:02:47.722951
0,3,10,3,0,3,2026-07-30T14:02:49.779934
0,4,1,3,0,3,2026-07-30T14:02:51.633327
0,4,2,5,0,5,2026-07-30T14:02:54.125481
0,4,3,5,0,5,2026-07-30T14:02:56.152275
0,4,4,5,0,5,2026-07-30T14:02:58.193892
0,4,5,5,0,5,2026-07-30T14:03:00.428879
0,4,6,3,0,3,2026-07-30T14:03:02.248379
0,4,7,1,0,1,2026-07-30T14:03:04.301305
0,4,8,5,0,5,2026-07-30T14:03:06.119775
0,4,9,5,0,5,2026-07-30T14:03:07.964568
0,4,10,5,0,5,2026-07-30T14:03:10.049469
0,5,1,0,0,0,2026-07-30T14:03:11.482748
0,5,2,0,0,0,2026-07-30T14:03:13.514603
0,5,3,0,0,0,2026-07-30T14:03:15.140340
0,5,4,0,0,0,2026-07-30T14:03:17.198427
0,5,5,0,0,0,2026-07-30T14:03:18.823457
0,5,6,0,0,0,2026-07-30T14:03:20.892746
0,5,7,0,0,0,2026-07-30T14:03:22.955884
0,5,8,0,0,0,2026-07-30T14:03:24.202695
0,5,9,0,0,0,2026-07-30T14:03:26.048563
0,5,10,0,0,0,2026-07-30T14:03:28.083521
0,6,1,2,0,2,2026-07-30T14:03:30.353908
0,6,2,5,0,5,2026-07-30T14:03:31.988797
0,6,3,5,0,5,2026-07-30T14:03:34.436927
0,6,4,5,0,5,2026-07-30T14:03:36.453490
0,6,5,3,0,3,2026-07-30T14:03:37.907011
0,6,6,5,0,5,2026-07-30T14:03:39.344667
0,6,7,3,0,3,2026-07-30T14:03:40.982144
0,6,8,5,0,5,2026-07-30T14:03:43.254387
0,6,9,3,0,3,2026-07-30T14:04:01.949907
0,6,10,5,0,5,2026-07-30T14:04:26.623651
0,7,1,3,0,3,2026-07-30T14:04:32.158754
0,7,2,3,0,3,2026-07-30T14:04:34.218382
0,7,3,3,0,3,2026-07-30T14:04:35.873888
0,7,4,3,0,3,2026-07-30T14:04:42.588550
0,7,5,3,0,3,2026-07-30T14:04:55.371346
0,7,6,3,0,3,2026-07-30T14:05:17.993087
0,7,7,3,0,3,2026-07-30T14:05:24.668213
0,7,8,3,0,3,2026-07-30T14:05:26.526974
0,7,9,3,0,3,2026-07-30T14:05:40.657638
0,7,10,3,0,3,2026-07-30T14:05:42.097478
0,8,1,5,0,5,2026-07-30T14:05:44.535953
0,8,2,5,0,5,2026-07-30T14:05:46.392239
0,8,3,5,0,5,2026-07-30T14:05:48.036731
0,8,4,5,0,5,2026-07-30T14:05:49.480276
0,8,5,5,0,5,2026-07-30T14:05:51.735441
0,8,6,5,0,5,2026-07-30T14:05:54.011361
0,8,7,5,0,5,2026-07-30T14:05:55.454214
0,8,8,5,0,5,2026-07-30T14:05:57.111828
0,8,9,3,0,3,2026-07-30T14:05:58.938920
0,8,10,5,0,5,2026-07-30T14:06:00.574096
0,9,1,0,0,0,2026-07-30T14:06:02.179731
0,9,2,1,0,1,2026-07-30T14:06:03.853521
0,9,3,0,0,0,2026-07-30T14:06:05.308524
0,9,4,0,0,0,2026-07-30T14:06:07.370658
0,9,5,2,0,2,2026-07-30T14:06:16.050715
0,9,6,0,0,0,2026-07-30T14:06:17.883511
0,9,7,0,0,0,2026-07-30T14:06:19.355435
0,9,8,0,0,0,2026-07-30T14:06:26.745144
0,9,9,0,0,0,2026-07-30T14:06:28.809727
0,9,10,0,0,0,2026-07-30T14:06:42.990430
0,10,1,0,0,0,2026-07-30T14:06:44.861408
0,10,2,0,0,0,2026-07-30T14:06:53.008147
0,10,3,0,0,0,2026-07-30T14:06:55.687482
0,10,4,0,0,0,2026-07-30T14:07:09.626798
0,10,5,0,0,0,2026-07-30T14:07:25.223652
0,10,6,0,0,0,2026-07-30T14:07:32.580083
0,10,7,0,0,0,2026-07-30T14:07:34.650824
0,10,8,0,0,0,2026-07-30T14:07:36.498971
0,10,9,0,0,0,2026-07-30T14:07:47.065610
0,10,10,0,0,0,2026-07-30T14:07:54.350678
0,11,1,3,0,3,2026-07-30T14:07:57.475775
0,11,2,3,0,3,2026-07-30T14:08:04.224402
0,11,3,3,0,3,2026-07-30T14:08:06.288968
0,11,4,3,0,3,2026-07-30T14:08:14.310751
0,11,5,3,0,3,2026-07-30T14:08:16.368166
0,11,6,3,0,3,2026-07-30T14:08:23.694566
0,11,7,3,0,3,2026-07-30T14:08:25.153791
0,11,8,3,0,3,2026-07-30T14:08:40.712294
0,11,9,3,0,3,2026-07-30T14:08:48.784599
0,11,10,3,0,3,2026-07-30T14:08:51.028176
0,12,1,5,0,5,2026-07-30T14:08:52.875624
0,12,2,5,0,5,2026-07-30T14:08:59.497189
0,12,3,5,0,5,2026-07-30T14:09:01.755273
0,12,4,5,0,5,2026-07-30T14:09:09.004806
0,12,5,5,0,5,2026-07-30T14:09:10.910635
0,12,6,5,0,5,2026-07-30T14:09:18.138042
0,12,7,5,0,5,2026-07-30T14:09:20.414291
0,12,8,5,0,5,2026-07-30T14:09:27.713516
0,12,9,5,0,5,2026-07-30T14:09:36.406891
0,12,10,5,0,5,2026-07-30T14:09:38.454178
0,13,1,3,0,3,2026-07-30T14:09:46.501973
0,13,2,5,0,5,2026-07-30T14:09:48.561431
0,13,3,5,0,5,2026-07-30T14:09:56.566015
0,13,4,3,0,3,2026-07-30T14:10:02.667938
0,13,5,5,0,5,2026-07-30T14:10:11.519102
0,13,6,3,0,3,2026-07-30T14:10:19.579648
0,13,7,5,0,5,2026-07-30T14:10:20.817949
0,13,8,3,0,3,2026-07-30T14:10:28.825345
0,13,9,5,0,5,2026-07-30T14:10:30.276054
0,13,10,5,0,5,2026-07-30T14:10:45.545671
0,14,1,3,0,3,2026-07-30T14:10:46.971960
0,14,2,3,0,3,2026-07-30T14:10:48.815132
0,14,3,3,0,3,2026-07-30T14:10:56.123799
0,14,4,3,0,3,2026-07-30T14:10:57.393559
0,14,5,3,0,3,2026-07-30T14:10:59.086297
0,14,6,3,0,3,2026-07-30T14:11:13.172897
0,14,7,3,0,3,2026-07-30T14:11:15.041195
0,14,8,3,0,3,2026-07-30T14:11:16.893395
0,14,9,3,0,3,2026-07-30T14:11:18.129968
0,14,10,3,0,3,2026-07-30T14:11:20.176790
0,15,1,0,0,0,2026-07-30T14:11:22.242637
0,15,2,0,0,0,2026-07-30T14:11:41.195617
0,15,3,0,0,0,2026-07-30T14:11:45.875310
0,15,4,0,0,0,2026-07-30T14:11:47.932364
0,15,5,0,0,0,2026-07-30T14:11:55.224978
0,15,6,0,0,0,2026-07-30T14:11:56.867611
0,15,7,0,0,0,2026-07-30T14:12:04.257226
0,15,8,0,0,0,2026-07-30T14:12:12.325852
0,15,9,0,0,0,2026-07-30T14:12:25.075831
0,15,10,0,0,0,2026-07-30T14:12:27.763124
0,16,1,3,0,3,2026-07-30T14:12:29.617094
