question_id,run_index,rating,failures,response,collected_at
1,1,4,0,4,2026-06-23T13:09:01.427572
1,2,4,0,4,2026-06-23T13:09:03.911028
1,3,3,0,3,2026-06-23T13:09:05.775074
1,4,0,0,0,2026-06-23T13:09:07.451424
1,5,3,0,3,2026-06-23T13:09:09.109449
1,6,4,0,4,2026-06-23T13:09:10.578590
1,7,3,0,3,2026-06-23T13:09:12.650178
1,8,4,0,4,2026-06-23T13:09:15.135176
1,9,4,0,4,2026-06-23T13:09:16.419212
1,10,4,0,4,2026-06-23T13:09:17.268509
2,1,4,0,4,2026-06-23T13:09:20.298759
2,2,4,0,4,2026-06-23T13:09:27.190727
2,3,4,0,4,2026-06-23T13:09:28.661511
2,4,3,0,3,2026-06-23T13:09:30.123724
2,5,2,0,2,2026-06-23T13:09:31.575974
2,6,3,0,3,2026-06-23T13:09:38.350509
2,7,4,0,4,2026-06-23T13:09:39.602607
2,8,4,0,4,2026-06-23T13:09:41.088547
2,9,4,0,4,2026-06-23T13:09:42.799873
2,10,3,0,3,2026-06-23T13:09:44.096074
3,1,4,0,4,2026-06-23T13:09:47.045713
3,2,5,0,5,2026-06-23T13:09:51.705351
3,3,4,0,4,2026-06-23T13:10:03.494894
3,4,5,0,5,2026-06-23T13:10:04.795347
3,5,4,0,4,2026-06-23T13:10:06.468886
3,6,5,0,5,2026-06-23T13:10:07.948375
3,7,4,0,4,2026-06-23T13:10:09.626024
3,8,4,0,4,2026-06-23T13:10:12.345082
3,9,5,0,5,2026-06-23T13:10:14.042830
3,10,4,0,4,2026-06-23T13:10:15.716109
4,1,4,0,4,2026-06-23T13:10:22.466267
4,2,3,0,3,2026-06-23T13:10:23.941747
4,3,4,0,4,2026-06-23T13:10:25.004460
4,4,4,0,4,2026-06-23T13:10:25.921622
4,5,3,0,3,2026-06-23T13:10:27.392714
4,6,4,0,4,2026-06-23T13:10:29.075397
4,7,3,0,3,2026-06-23T13:10:30.951320
4,8,4,0,4,2026-06-23T13:10:32.791889
4,9,4,0,4,2026-06-23T13:10:33.843611
4,10,3,0,3,2026-06-23T13:10:34.711650
5,1,3,0,3,2026-06-23T13:10:35.768805
5,2,3,0,3,2026-06-23T13:10:37.204880
5,3,3,0,3,2026-06-23T13:10:38.261869
5,4,3,0,3,2026-06-23T13:10:39.726037
5,5,3,0,3,2026-06-23T13:10:40.976437
5,6,3,0,3,2026-06-23T13:10:41.831507
5,7,3,0,3,2026-06-23T13:10:42.705762
5,8,3,0,3,2026-06-23T13:10:44.166140
5,9,5,0,5,2026-06-23T13:10:45.621037
5,10,3,0,3,2026-06-23T13:10:53.022464
6,1,5,0,5,2026-06-23T13:10:54.488471
6,2,3,0,3,2026-06-23T13:10:55.545068
6,3,0,0,0,2026-06-23T13:10:56.609746
