question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T03:56:32.078473
1,2,5,0,5,2026-06-18T03:56:33.886095
1,3,5,0,5,2026-06-18T03:56:35.697925
1,4,5,0,5,2026-06-18T03:56:37.931076
1,5,5,0,5,2026-06-18T03:56:39.734405
1,6,5,0,5,2026-06-18T03:56:40.954161
1,7,5,0,5,2026-06-18T03:56:42.656302
1,8,5,0,5,2026-06-18T03:56:44.270140
1,9,5,0,5,2026-06-18T03:56:46.089432
1,10,5,0,5,2026-06-18T03:56:47.300601
2,1,5,0,5,2026-06-18T03:56:49.131381
2,2,5,0,5,2026-06-18T03:56:52.617311
2,3,5,0,5,2026-06-18T03:56:53.611285
2,4,5,0,5,2026-06-18T03:56:56.743504
2,5,5,0,5,2026-06-18T03:56:58.158021
2,6,5,0,5,2026-06-18T03:57:00.163767
2,7,5,0,5,2026-06-18T03:57:01.976025
2,8,5,0,5,2026-06-18T03:57:06.499062
2,9,5,0,5,2026-06-18T03:57:07.714925
2,10,5,0,5,2026-06-18T03:57:09.330388
3,1,2,0,2,2026-06-18T03:57:10.746675
3,2,2,0,2,2026-06-18T03:57:11.748477
3,3,2,0,2,2026-06-18T03:57:13.163742
3,4,3,0,3,2026-06-18T03:57:14.347627
3,5,2,0,2,2026-06-18T03:57:16.370756
3,6,2,0,2,2026-06-18T03:57:19.252560
3,7,2,0,2,2026-06-18T03:57:21.676714
3,8,2,0,2,2026-06-18T03:57:40.250936
3,9,2,0,2,2026-06-18T03:58:18.830696
3,10,2,0,2,2026-06-18T03:58:20.046434
4,1,2,0,2,2026-06-18T03:58:21.470845
4,2,2,0,2,2026-06-18T03:58:23.086880
4,3,2,0,2,2026-06-18T03:58:24.570382
4,4,2,0,2,2026-06-18T03:58:25.977450
4,5,2,0,2,2026-06-18T03:58:27.183138
4,6,2,0,2,2026-06-18T03:58:33.798392
4,7,2,0,2,2026-06-18T03:58:35.813534
4,8,2,0,2,2026-06-18T03:58:37.016534
4,9,2,0,2,2026-06-18T03:59:15.565119
4,10,2,0,2,2026-06-18T03:59:17.790701
5,1,0,0,0,2026-06-18T03:59:33.074054
5,2,0,0,0,2026-06-18T03:59:35.967136
5,3,0,0,0,2026-06-18T03:59:37.383354
5,4,0,0,0,2026-06-18T03:59:38.197607
5,5,2,0,2,2026-06-18T03:59:40.206437
5,6,0,0,0,2026-06-18T03:59:41.222890
5,7,2,0,2,2026-06-18T03:59:42.452790
5,8,0,0,0,2026-06-18T03:59:43.465439
5,9,2,0,2,2026-06-18T03:59:45.084724
5,10,0,0,0,2026-06-18T03:59:46.693549
6,1,5,0,5,2026-06-18T03:59:48.513456
6,2,5,0,5,2026-06-18T03:59:49.738087
6,3,5,0,5,2026-06-18T03:59:51.343285
6,4,5,0,5,2026-06-18T03:59:53.180320
6,5,5,0,5,2026-06-18T03:59:54.991302
6,6,5,0,5,2026-06-18T03:59:56.657881
6,7,5,0,5,2026-06-18T04:00:20.694350
6,8,5,0,5,2026-06-18T04:00:21.910335
6,9,5,0,5,2026-06-18T04:00:23.320123
6,10,5,0,5,2026-06-18T04:00:25.322712
7,1,5,0,5,2026-06-18T04:00:34.896971
7,2,5,0,5,2026-06-18T04:00:36.906923
7,3,5,0,5,2026-06-18T04:00:41.469791
7,4,5,0,5,2026-06-18T04:00:43.503051
7,5,5,0,5,2026-06-18T04:00:45.385074
7,6,5,0,5,2026-06-18T04:00:47.415485
7,7,5,0,5,2026-06-18T04:00:49.029470
7,8,5,0,5,2026-06-18T04:00:50.446702
7,9,5,0,5,2026-06-18T04:00:52.283236
7,10,5,0,5,2026-06-18T04:00:53.505263
8,1,3,0,3,2026-06-18T04:00:54.910353
8,2,3,0,3,2026-06-18T04:00:56.949293
8,3,3,0,3,2026-06-18T04:00:57.954491
8,4,3,0,3,2026-06-18T04:00:59.370738
8,5,3,0,3,2026-06-18T04:01:00.602416
8,6,3,0,3,2026-06-18T04:01:02.432492
8,7,3,0,3,2026-06-18T04:01:03.855225
8,8,3,0,3,2026-06-18T04:01:05.675779
8,9,3,0,3,2026-06-18T04:01:07.498987
8,10,3,0,3,2026-06-18T04:01:09.337335
9,1,2,0,2,2026-06-18T04:01:29.800431
9,2,2,0,2,2026-06-18T04:01:36.363746
9,3,2,0,2,2026-06-18T04:01:55.120067
9,4,2,0,2,2026-06-18T04:02:41.578975
9,5,2,0,2,2026-06-18T04:02:43.404450
9,6,2,0,2,2026-06-18T04:02:45.848424
9,7,2,0,2,2026-06-18T04:02:48.273053
9,8,2,0,2,2026-06-18T04:03:22.590553
9,9,2,0,2,2026-06-18T04:03:42.781214
9,10,2,0,2,2026-06-18T04:03:48.785320
10,1,2,0,2,2026-06-18T04:03:53.800413
10,2,2,0,2,2026-06-18T04:03:57.965887
10,3,2,0,2,2026-06-18T04:03:59.376330
10,4,2,0,2,2026-06-18T04:04:00.988706
10,5,2,0,2,2026-06-18T04:04:03.205946
10,6,2,0,2,2026-06-18T04:04:04.823267
10,7,2,0,2,2026-06-18T04:04:06.846345
10,8,2,0,2,2026-06-18T04:04:09.072986
10,9,2,0,2,2026-06-18T04:04:10.318681
10,10,2,0,2,2026-06-18T04:04:11.932262
11,1,5,0,5,2026-06-18T04:04:13.873653
11,2,5,0,5,2026-06-18T04:04:15.101597
11,3,5,0,5,2026-06-18T04:04:16.325634
11,4,5,0,5,2026-06-18T04:04:17.947417
11,5,5,0,5,2026-06-18T04:04:19.764221
11,6,5,0,5,2026-06-18T04:04:26.935613
11,7,5,0,5,2026-06-18T04:04:28.356229
11,8,5,0,5,2026-06-18T04:04:29.377279
11,9,5,0,5,2026-06-18T04:04:31.619704
11,10,5,0,5,2026-06-18T04:04:32.917284
12,1,5,0,5,2026-06-18T04:04:34.764207
12,2,5,0,5,2026-06-18T04:04:35.997801
12,3,5,0,5,2026-06-18T04:04:37.447473
12,4,5,0,5,2026-06-18T04:04:39.279938
12,5,5,0,5,2026-06-18T04:04:40.913205
12,6,5,0,5,2026-06-18T04:04:42.362918
12,7,5,0,5,2026-06-18T04:04:44.184654
12,8,5,0,5,2026-06-18T04:05:24.614804
12,9,5,0,5,2026-06-18T04:05:26.227589
12,10,5,0,5,2026-06-18T04:05:27.055200
13,1,3,0,3,2026-06-18T04:05:28.057140
13,2,3,0,3,2026-06-18T04:05:29.267925
13,3,3,0,3,2026-06-18T04:05:31.088047
13,4,3,0,3,2026-06-18T04:05:31.901295
13,5,3,0,3,2026-06-18T04:05:34.244059
13,6,3,0,3,2026-06-18T04:05:35.864444
13,7,3,0,3,2026-06-18T04:05:37.270486
13,8,3,0,3,2026-06-18T04:05:38.271205
13,9,3,0,3,2026-06-18T04:05:39.873317
13,10,3,0,3,2026-06-18T04:05:41.875351
14,1,4,0,4,2026-06-18T04:05:47.859755
14,2,4,0,4,2026-06-18T04:06:20.124346
14,3,4,0,4,2026-06-18T04:06:21.937281
14,4,4,0,4,2026-06-18T04:06:23.747050
14,5,4,0,4,2026-06-18T04:06:24.951998
14,6,4,0,4,2026-06-18T04:06:46.982311
14,7,4,0,4,2026-06-18T04:06:48.799853
