question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-16T04:30:00.322921
1,2,5,0,5,2026-06-16T04:30:02.143489
1,3,5,0,5,2026-06-16T04:30:03.575029
1,4,5,0,5,2026-06-16T04:30:05.173299
1,5,5,0,5,2026-06-16T04:30:06.977759
1,6,5,0,5,2026-06-16T04:30:08.384098
1,7,5,0,5,2026-06-16T04:30:09.987993
1,8,5,0,5,2026-06-16T04:30:11.775325
1,9,5,0,5,2026-06-16T04:30:13.164942
1,10,5,0,5,2026-06-16T04:30:14.575575
2,1,5,0,5,2026-06-16T04:30:16.481925
2,2,5,0,5,2026-06-16T04:30:18.079483
2,3,5,0,5,2026-06-16T04:30:19.484546
2,4,5,0,5,2026-06-16T04:30:21.091229
2,5,5,0,5,2026-06-16T04:30:22.288552
2,6,5,0,5,2026-06-16T04:30:23.703420
2,7,5,0,5,2026-06-16T04:30:25.103912
2,8,5,0,5,2026-06-16T04:30:26.106091
2,9,5,0,5,2026-06-16T04:30:27.744931
2,10,5,0,5,2026-06-16T04:30:29.156111
3,1,3,0,3,2026-06-16T04:30:30.755757
3,2,3,0,3,2026-06-16T04:30:31.954234
3,3,3,0,3,2026-06-16T04:30:33.154394
3,4,5,0,5,2026-06-16T04:30:35.014795
3,5,3,0,3,2026-06-16T04:30:36.624355
3,6,0,0,0,2026-06-16T04:30:37.630962
3,7,5,0,5,2026-06-16T04:30:38.637690
3,8,3,0,3,2026-06-16T04:30:39.475371
3,9,3,0,3,2026-06-16T04:30:40.682225
3,10,3,0,3,2026-06-16T04:30:42.289569
4,1,0,0,0,2026-06-16T04:30:43.489657
4,2,0,0,0,2026-06-16T04:30:44.744659
4,3,0,0,0,2026-06-16T04:30:46.543841
4,4,0,0,0,2026-06-16T04:30:47.742914
4,5,0,0,0,2026-06-16T04:30:49.404656
4,6,0,0,0,2026-06-16T04:30:50.208425
4,7,0,0,0,2026-06-16T04:30:51.610328
4,8,0,0,0,2026-06-16T04:30:53.216200
4,9,0,0,0,2026-06-16T04:30:55.028682
4,10,0,0,0,2026-06-16T04:30:56.850442
5,1,0,0,0,2026-06-16T04:30:58.478100
5,2,0,0,0,2026-06-16T04:30:59.894208
5,3,0,0,0,2026-06-16T04:31:01.112976
5,4,0,0,0,2026-06-16T04:31:02.522057
5,5,0,0,0,2026-06-16T04:31:03.995103
5,6,0,0,0,2026-06-16T04:31:05.206606
5,7,0,0,0,2026-06-16T04:31:06.210480
5,8,0,0,0,2026-06-16T04:31:07.816553
5,9,0,0,0,2026-06-16T04:31:09.008602
5,10,0,0,0,2026-06-16T04:31:10.018079
6,1,5,0,5,2026-06-16T04:31:11.612042
6,2,5,0,5,2026-06-16T04:31:13.024907
6,3,5,0,5,2026-06-16T04:31:14.242325
6,4,5,0,5,2026-06-16T04:31:15.464373
6,5,5,0,5,2026-06-16T04:31:16.667505
6,6,5,0,5,2026-06-16T04:31:18.079964
6,7,5,0,5,2026-06-16T04:31:19.080326
6,8,5,0,5,2026-06-16T04:31:20.486533
6,9,5,0,5,2026-06-16T04:31:21.894825
6,10,5,0,5,2026-06-16T04:31:23.700078
7,1,5,0,5,2026-06-16T04:31:24.906894
7,2,5,0,5,2026-06-16T04:31:26.302996
7,3,5,0,5,2026-06-16T04:31:27.499551
7,4,5,0,5,2026-06-16T04:31:28.296725
7,5,5,0,5,2026-06-16T04:31:30.100532
7,6,5,0,5,2026-06-16T04:31:31.895248
7,7,5,0,5,2026-06-16T04:31:33.176809
7,8,5,0,5,2026-06-16T04:31:34.983214
7,9,5,0,5,2026-06-16T04:31:35.980314
7,10,5,0,5,2026-06-16T04:31:37.604808
8,1,5,0,5,2026-06-16T04:31:39.014326
8,2,5,0,5,2026-06-16T04:31:40.655358
8,3,5,0,5,2026-06-16T04:31:41.862281
8,4,5,0,5,2026-06-16T04:31:43.278907
8,5,5,0,5,2026-06-16T04:31:44.891842
8,6,5,0,5,2026-06-16T04:31:46.090406
8,7,5,0,5,2026-06-16T04:31:47.291062
8,8,5,0,5,2026-06-16T04:31:49.097211
8,9,5,0,5,2026-06-16T04:31:50.493725
8,10,5,0,5,2026-06-16T04:31:51.880604
9,1,0,0,0,2026-06-16T04:31:52.895503
9,2,0,0,0,2026-06-16T04:31:54.100699
9,3,3,0,3,2026-06-16T04:31:55.084507
9,4,3,0,3,2026-06-16T04:31:56.288949
9,5,2,0,2,2026-06-16T04:31:57.297663
9,6,0,0,0,2026-06-16T04:31:58.502724
9,7,3,0,3,2026-06-16T04:32:00.130593
9,8,0,0,0,2026-06-16T04:32:01.129317
9,9,2,0,2,2026-06-16T04:32:02.946634
9,10,2,0,2,2026-06-16T04:32:04.152421
10,1,0,0,0,2026-06-16T04:32:05.563049
10,2,0,0,0,2026-06-16T04:32:06.572704
10,3,0,0,0,2026-06-16T04:32:07.567642
10,4,0,0,0,2026-06-16T04:32:08.989212
10,5,0,0,0,2026-06-16T04:32:10.717722
10,6,0,0,0,2026-06-16T04:32:11.925717
10,7,0,0,0,2026-06-16T04:32:12.936283
10,8,0,0,0,2026-06-16T04:32:13.934845
10,9,0,0,0,2026-06-16T04:32:15.343265
10,10,0,0,0,2026-06-16T04:32:16.354170
11,1,5,0,5,2026-06-16T04:32:18.030845
11,2,5,0,5,2026-06-16T04:32:19.810023
11,3,5,0,5,2026-06-16T04:32:20.817488
11,4,5,0,5,2026-06-16T04:32:21.821417
11,5,5,0,5,2026-06-16T04:32:23.626271
11,6,5,0,5,2026-06-16T04:32:24.629338
11,7,5,0,5,2026-06-16T04:32:25.854203
11,8,5,0,5,2026-06-16T04:32:27.683309
11,9,5,0,5,2026-06-16T04:32:29.294690
11,10,5,0,5,2026-06-16T04:32:30.505111
12,1,5,0,5,2026-06-16T04:32:31.922708
12,2,5,0,5,2026-06-16T04:32:32.922155
12,3,5,0,5,2026-06-16T04:32:34.739488
12,4,5,0,5,2026-06-16T04:32:36.039638
12,5,5,0,5,2026-06-16T04:32:37.016547
12,6,5,0,5,2026-06-16T04:32:38.417928
12,7,5,0,5,2026-06-16T04:32:39.806410
12,8,5,0,5,2026-06-16T04:32:41.609452
12,9,5,0,5,2026-06-16T04:32:42.817346
12,10,5,0,5,2026-06-16T04:32:43.809312
