question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2025-10-25T09:26:23.543390
1,2,5,0,5,2025-10-25T09:26:25.125069
1,3,5,0,5,2025-10-25T09:26:25.875078
1,4,5,0,5,2025-10-25T09:26:27.250188
1,5,5,0,5,2025-10-25T09:26:28.574120
1,6,5,0,5,2025-10-25T09:26:30.929113
1,7,5,0,5,2025-10-25T09:26:31.614983
1,8,5,0,5,2025-10-25T09:26:33.441775
1,9,5,0,5,2025-10-25T09:26:34.151714
1,10,5,0,5,2025-10-25T09:26:34.750658
2,1,5,0,5,2025-10-25T09:26:35.683660
2,2,5,0,5,2025-10-25T09:26:37.971375
2,3,5,0,5,2025-10-25T09:26:38.527621
2,4,5,0,5,2025-10-25T09:26:39.052170
2,5,5,0,5,2025-10-25T09:26:41.319610
2,6,5,0,5,2025-10-25T09:26:42.979365
2,7,5,0,5,2025-10-25T09:26:44.325229
2,8,5,0,5,2025-10-25T09:26:44.982934
2,9,5,0,5,2025-10-25T09:26:45.759321
2,10,5,0,5,2025-10-25T09:26:46.401987
3,1,1,0,1,2025-10-25T09:26:47.131321
3,2,1,0,1,2025-10-25T09:26:47.750045
3,3,1,0,1,2025-10-25T09:26:48.302079
3,4,1,0,1,2025-10-25T09:26:49.854852
3,5,1,0,1,2025-10-25T09:26:50.460938
3,6,1,0,1,2025-10-25T09:26:50.947532
3,7,1,0,1,2025-10-25T09:26:51.689415
3,8,1,0,1,2025-10-25T09:26:52.598189
3,9,1,0,1,2025-10-25T09:26:53.165210
3,10,1,0,1,2025-10-25T09:26:53.819829
4,1,1,0,1,2025-10-25T09:26:54.275703
4,2,1,0,1,2025-10-25T09:26:54.711090
4,3,1,0,1,2025-10-25T09:26:55.396523
4,4,1,0,1,2025-10-25T09:26:55.949878
4,5,1,0,1,2025-10-25T09:26:56.517863
4,6,1,0,1,2025-10-25T09:26:57.047092
4,7,1,0,1,2025-10-25T09:26:57.558542
4,8,1,0,1,2025-10-25T09:26:58.194072
4,9,1,0,1,2025-10-25T09:26:58.672520
4,10,1,0,1,2025-10-25T09:26:59.223243
5,1,1,0,1,2025-10-25T09:27:00.139051
5,2,1,0,1,2025-10-25T09:27:00.800220
5,3,1,0,1,2025-10-25T09:27:01.372373
5,4,1,0,1,2025-10-25T09:27:02.313991
5,5,1,0,1,2025-10-25T09:27:02.851873
5,6,1,0,1,2025-10-25T09:27:03.493407
5,7,1,0,1,2025-10-25T09:27:04.022613
5,8,1,0,1,2025-10-25T09:27:04.771870
5,9,1,0,1,2025-10-25T09:27:05.571696
5,10,1,0,1,2025-10-25T09:27:06.156495
6,1,5,0,5,2025-10-25T09:27:06.937996
6,2,5,0,5,2025-10-25T09:27:07.764917
6,3,5,0,5,2025-10-25T09:27:08.429948
6,4,5,0,5,2025-10-25T09:27:09.560917
6,5,5,0,5,2025-10-25T09:27:10.198149
6,6,5,0,5,2025-10-25T09:27:11.131270
6,7,5,0,5,2025-10-25T09:27:11.745614
6,8,5,0,5,2025-10-25T09:27:12.284205
