question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2025-10-28T20:27:58.430213
1,2,5,0,5,2025-10-28T20:27:59.275385
1,3,5,0,5,2025-10-28T20:28:00.473600
1,4,5,0,5,2025-10-28T20:28:01.121882
1,5,5,0,5,2025-10-28T20:28:01.757139
1,6,5,0,5,2025-10-28T20:28:02.440908
1,7,5,0,5,2025-10-28T20:28:03.070669
1,8,5,0,5,2025-10-28T20:28:03.641419
1,9,5,0,5,2025-10-28T20:28:04.288320
1,10,5,0,5,2025-10-28T20:28:04.821619
2,1,5,0,5,2025-10-28T20:28:05.382406
2,2,5,0,5,2025-10-28T20:28:05.879740
2,3,5,0,5,2025-10-28T20:28:06.993185
2,4,4,0,4,2025-10-28T20:28:07.524901
2,5,5,0,5,2025-10-28T20:28:08.147706
2,6,4,0,4,2025-10-28T20:28:08.659355
2,7,5,0,5,2025-10-28T20:28:09.450702
2,8,4,0,4,2025-10-28T20:28:09.989975
2,9,5,0,5,2025-10-28T20:28:10.708142
2,10,5,0,5,2025-10-28T20:28:11.425671
3,1,1,0,1,2025-10-28T20:28:12.278297
3,2,1,0,1,2025-10-28T20:28:13.239307
3,3,1,0,1,2025-10-28T20:28:13.800320
3,4,1,0,1,2025-10-28T20:28:15.314526
3,5,1,0,1,2025-10-28T20:28:16.069368
3,6,1,0,1,2025-10-28T20:28:16.984232
3,7,1,0,1,2025-10-28T20:28:17.786125
3,8,1,0,1,2025-10-28T20:28:18.656222
3,9,1,0,1,2025-10-28T20:28:19.439190
3,10,1,0,1,2025-10-28T20:28:20.167634
4,1,1,0,1,2025-10-28T20:28:20.872230
4,2,1,0,1,2025-10-28T20:28:21.636465
4,3,1,0,1,2025-10-28T20:28:22.216390
4,4,1,0,1,2025-10-28T20:28:23.744901
4,5,1,0,1,2025-10-28T20:28:24.274860
4,6,1,0,1,2025-10-28T20:28:24.874758
4,7,1,0,1,2025-10-28T20:28:25.596305
4,8,1,0,1,2025-10-28T20:28:26.271839
4,9,1,0,1,2025-10-28T20:28:27.002402
4,10,1,0,1,2025-10-28T20:28:27.503434
5,1,3,0,3,2025-10-28T20:28:28.190887
5,2,3,0,3,2025-10-28T20:28:28.870530
5,3,3,0,3,2025-10-28T20:28:29.675001
5,4,3,0,3,2025-10-28T20:28:30.401038
5,5,3,0,3,2025-10-28T20:28:31.081458
5,6,3,0,3,2025-10-28T20:28:31.840525
5,7,3,0,3,2025-10-28T20:28:32.559687
5,8,3,0,3,2025-10-28T20:28:33.132979
5,9,3,0,3,2025-10-28T20:28:33.708747
5,10,3,0,3,2025-10-28T20:28:34.382697
6,1,5,0,5,2025-10-28T20:28:34.921770
6,2,5,0,5,2025-10-28T20:28:35.597144
6,3,5,0,5,2025-10-28T20:28:36.374942
6,4,5,0,5,2025-10-28T20:28:37.236342
6,5,5,0,5,2025-10-28T20:28:37.905428
6,6,5,0,5,2025-10-28T20:28:39.001515
6,7,5,0,5,2025-10-28T20:28:39.623960
6,8,5,0,5,2025-10-28T20:28:40.210456
6,9,5,0,5,2025-10-28T20:28:40.920487
6,10,5,0,5,2025-10-28T20:28:41.390038
7,1,5,0,5,2025-10-28T20:28:42.744587
7,2,5,0,5,2025-10-28T20:28:43.455921
7,3,5,0,5,2025-10-28T20:28:44.034549
7,4,5,0,5,2025-10-28T20:28:44.409672
7,5,5,0,5,2025-10-28T20:28:45.086773
7,6,5,0,5,2025-10-28T20:28:45.783174
7,7,5,0,5,2025-10-28T20:28:46.547832
7,8,5,0,5,2025-10-28T20:28:47.428617
7,9,5,0,5,2025-10-28T20:28:48.334906
7,10,5,0,5,2025-10-28T20:28:49.022740
8,1,3,0,3,2025-10-28T20:28:49.493965
8,2,2,0,2,2025-10-28T20:28:50.178790
8,3,2,0,2,2025-10-28T20:28:50.976827
8,4,2,0,2,2025-10-28T20:28:51.632188
8,5,2,0,2,2025-10-28T20:28:52.357055
8,6,2,0,2,2025-10-28T20:28:53.105948
8,7,2,0,2,2025-10-28T20:28:54.603893
8,8,2,0,2,2025-10-28T20:28:55.015059
8,9,2,0,2,2025-10-28T20:28:55.505168
8,10,2,0,2,2025-10-28T20:28:56.073808
9,1,1,0,1,2025-10-28T20:28:56.660807
9,2,1,0,1,2025-10-28T20:28:57.333068
9,3,1,0,1,2025-10-28T20:28:57.819013
9,4,1,0,1,2025-10-28T20:29:04.384764
9,5,1,0,1,2025-10-28T20:29:04.872085
9,6,1,0,1,2025-10-28T20:29:05.766096
9,7,1,0,1,2025-10-28T20:29:06.454077
9,8,1,0,1,2025-10-28T20:29:07.042240
9,9,1,0,1,2025-10-28T20:29:07.706991
9,10,1,0,1,2025-10-28T20:29:08.172483
10,1,1,0,1,2025-10-28T20:29:08.812899
10,2,1,0,1,2025-10-28T20:29:09.523442
10,3,1,0,1,2025-10-28T20:29:10.396631
10,4,1,0,1,2025-10-28T20:29:11.014115
10,5,1,0,1,2025-10-28T20:29:11.930885
10,6,1,0,1,2025-10-28T20:29:12.576896
10,7,1,0,1,2025-10-28T20:29:13.743539
10,8,1,0,1,2025-10-28T20:29:14.265786
10,9,1,0,1,2025-10-28T20:29:14.903171
10,10,1,0,1,2025-10-28T20:29:15.572973
11,1,5,0,5,2025-10-28T20:29:16.349813
11,2,5,0,5,2025-10-28T20:29:16.975274
11,3,5,0,5,2025-10-28T20:29:17.711200
11,4,5,0,5,2025-10-28T20:29:18.197176
