question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-20T19:59:03.641752
1,2,5,0,5,2026-06-20T19:59:05.211555
1,3,5,0,5,2026-06-20T19:59:06.054503
1,4,5,0,5,2026-06-20T19:59:07.293172
1,5,5,0,5,2026-06-20T19:59:08.178753
1,6,5,0,5,2026-06-20T19:59:09.629855
1,7,5,0,5,2026-06-20T19:59:11.083235
1,8,5,0,5,2026-06-20T19:59:11.721026
1,9,5,0,5,2026-06-20T19:59:13.149695
1,10,5,0,5,2026-06-20T19:59:14.007084
2,1,5,0,5,2026-06-20T19:59:15.449464
2,2,5,0,5,2026-06-20T19:59:16.896548
2,3,5,0,5,2026-06-20T19:59:18.324880
2,4,5,0,5,2026-06-20T19:59:18.964476
2,5,5,0,5,2026-06-20T19:59:20.430305
2,6,5,0,5,2026-06-20T19:59:21.282233
2,7,5,0,5,2026-06-20T19:59:22.901389
2,8,5,0,5,2026-06-20T19:59:24.117286
2,9,5,0,5,2026-06-20T19:59:25.771261
2,10,5,0,5,2026-06-20T19:59:26.596520
3,1,3,0,3,2026-06-20T19:59:27.852958
3,2,3,0,3,2026-06-20T19:59:28.903472
3,3,3,0,3,2026-06-20T19:59:30.136715
3,4,3,0,3,2026-06-20T19:59:31.558575
3,5,3,0,3,2026-06-20T19:59:32.993532
3,6,3,0,3,2026-06-20T19:59:34.633548
3,7,3,0,3,2026-06-20T19:59:35.704704
3,8,3,0,3,2026-06-20T19:59:37.164894
3,9,3,0,3,2026-06-20T19:59:38.079849
3,10,3,0,3,2026-06-20T19:59:39.119295
4,1,2,0,2,2026-06-20T19:59:40.537934
4,2,2,0,2,2026-06-20T19:59:41.371312
4,3,2,0,2,2026-06-20T19:59:42.997148
4,4,2,0,2,2026-06-20T19:59:44.636716
4,5,2,0,2,2026-06-20T19:59:45.564823
4,6,2,0,2,2026-06-20T19:59:46.807027
4,7,2,0,2,2026-06-20T19:59:47.859742
4,8,2,0,2,2026-06-20T19:59:48.871495
4,9,2,0,2,2026-06-20T19:59:49.736538
4,10,2,0,2,2026-06-20T19:59:50.591916
5,1,2,0,2,2026-06-20T19:59:51.443243
5,2,2,0,2,2026-06-20T19:59:52.460791
5,3,2,0,2,2026-06-20T19:59:53.285975
5,4,2,0,2,2026-06-20T19:59:54.158983
5,5,2,0,2,2026-06-20T19:59:55.080212
5,6,2,0,2,2026-06-20T19:59:56.017065
5,7,2,0,2,2026-06-20T19:59:57.075536
5,8,2,0,2,2026-06-20T19:59:58.519981
5,9,2,0,2,2026-06-20T19:59:59.350879
5,10,2,0,2,2026-06-20T20:00:00.809602
6,1,5,0,5,2026-06-20T20:00:01.653699
6,2,5,0,5,2026-06-20T20:00:02.503126
