question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-16T21:51:14.495296
1,2,5,0,5,2026-06-16T21:51:16.496747
1,3,5,0,5,2026-06-16T21:51:18.704102
1,4,5,0,5,2026-06-16T21:51:20.501433
1,5,5,0,5,2026-06-16T21:51:22.111227
1,6,5,0,5,2026-06-16T21:51:24.108145
1,7,5,0,5,2026-06-16T21:51:25.300023
1,8,5,0,5,2026-06-16T21:51:26.903408
1,9,5,0,5,2026-06-16T21:51:28.912706
1,10,5,0,5,2026-06-16T21:51:30.113232
2,1,5,0,5,2026-06-16T21:51:31.913768
2,2,5,0,5,2026-06-16T21:51:33.533513
2,3,4,0,4,2026-06-16T21:51:35.131357
2,4,5,0,5,2026-06-16T21:51:36.752736
2,5,5,0,5,2026-06-16T21:51:38.805857
2,6,5,0,5,2026-06-16T21:51:40.631862
2,7,5,0,5,2026-06-16T21:51:42.043680
2,8,5,0,5,2026-06-16T21:51:43.280219
2,9,5,0,5,2026-06-16T21:51:44.500806
2,10,5,0,5,2026-06-16T21:51:46.909255
3,1,2,0,2,2026-06-16T21:51:48.303683
3,2,2,0,2,2026-06-16T21:51:49.310474
3,3,2,0,2,2026-06-16T21:51:51.125508
3,4,2,0,2,2026-06-16T21:51:52.530633
3,5,2,0,2,2026-06-16T21:51:53.713281
3,6,2,0,2,2026-06-16T21:51:54.920223
3,7,2,0,2,2026-06-16T21:51:55.923601
3,8,2,0,2,2026-06-16T21:51:57.528007
3,9,2,0,2,2026-06-16T21:51:59.338210
3,10,2,0,2,2026-06-16T21:52:00.952065
4,1,2,0,2,2026-06-16T21:52:02.966574
4,2,2,0,2,2026-06-16T21:52:03.993992
4,3,2,0,2,2026-06-16T21:52:05.387130
4,4,2,0,2,2026-06-16T21:52:06.391877
4,5,2,0,2,2026-06-16T21:52:08.001954
4,6,2,0,2,2026-06-16T21:52:09.586165
4,7,2,0,2,2026-06-16T21:52:10.793347
4,8,2,0,2,2026-06-16T21:52:12.580695
4,9,2,0,2,2026-06-16T21:52:14.792138
4,10,2,0,2,2026-06-16T21:52:16.402180
5,1,2,0,2,2026-06-16T21:52:17.639635
5,2,2,0,2,2026-06-16T21:52:19.436951
5,3,2,0,2,2026-06-16T21:52:20.845175
5,4,2,0,2,2026-06-16T21:52:22.469505
