question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-16T23:57:14.895482
1,2,5,0,5,2026-06-16T23:57:16.706747
1,3,5,0,5,2026-06-16T23:57:17.700663
1,4,5,0,5,2026-06-16T23:57:18.913911
1,5,5,0,5,2026-06-16T23:57:20.324090
1,6,5,0,5,2026-06-16T23:57:21.739268
1,7,5,0,5,2026-06-16T23:57:23.145527
1,8,5,0,5,2026-06-16T23:57:24.133602
1,9,5,0,5,2026-06-16T23:57:29.589205
1,10,5,0,5,2026-06-16T23:57:32.008557
2,1,5,0,5,2026-06-16T23:57:33.410489
2,2,5,0,5,2026-06-16T23:57:34.824366
2,3,5,0,5,2026-06-16T23:57:46.254863
2,4,5,0,5,2026-06-16T23:57:48.060291
2,5,5,0,5,2026-06-16T23:57:49.105209
2,6,5,0,5,2026-06-16T23:57:50.692213
2,7,5,0,5,2026-06-16T23:57:52.486348
2,8,5,0,5,2026-06-16T23:57:53.700706
2,9,5,0,5,2026-06-16T23:57:55.114997
2,10,5,0,5,2026-06-16T23:57:56.928092
3,1,3,0,3,2026-06-16T23:57:58.142770
3,2,3,0,3,2026-06-16T23:57:59.558817
3,3,3,0,3,2026-06-16T23:58:01.189712
3,4,3,0,3,2026-06-16T23:58:03.822721
3,5,3,0,3,2026-06-16T23:58:05.431756
3,6,3,0,3,2026-06-16T23:58:07.030122
3,7,3,0,3,2026-06-16T23:58:08.634781
3,8,3,0,3,2026-06-16T23:58:10.450289
3,9,3,0,3,2026-06-16T23:58:11.855783
3,10,3,0,3,2026-06-16T23:58:13.455832
4,1,0,0,0,2026-06-16T23:58:14.661280
4,2,0,0,0,2026-06-16T23:58:16.076192
4,3,0,0,0,2026-06-16T23:58:17.883892
4,4,0,0,0,2026-06-16T23:58:19.481378
4,5,0,0,0,2026-06-16T23:58:22.372377
4,6,0,0,0,2026-06-16T23:58:24.400017
4,7,0,0,0,2026-06-16T23:58:26.240919
4,8,0,0,0,2026-06-16T23:58:27.463130
4,9,0,0,0,2026-06-16T23:58:29.071009
4,10,0,0,0,2026-06-16T23:58:29.868993
5,1,0,0,0,2026-06-16T23:58:31.479053
5,2,0,0,0,2026-06-16T23:58:32.877666
5,3,0,0,0,2026-06-16T23:58:41.632478
5,4,0,0,0,2026-06-16T23:58:43.040731
5,5,0,0,0,2026-06-16T23:58:44.652669
5,6,0,0,0,2026-06-16T23:58:45.648285
5,7,0,0,0,2026-06-16T23:58:46.850912
5,8,0,0,0,2026-06-16T23:58:47.858150
5,9,0,0,0,2026-06-16T23:58:49.943966
5,10,0,0,0,2026-06-16T23:58:51.748257
6,1,5,0,5,2026-06-16T23:58:52.749104
6,2,5,0,5,2026-06-16T23:58:53.954571
6,3,5,0,5,2026-06-16T23:58:55.763279
6,4,5,0,5,2026-06-16T23:58:57.379092
6,5,5,0,5,2026-06-16T23:58:58.994647
6,6,5,0,5,2026-06-16T23:59:01.021671
6,7,5,0,5,2026-06-16T23:59:02.636708
6,8,5,0,5,2026-06-16T23:59:08.638082
6,9,5,0,5,2026-06-16T23:59:10.257974
