question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T13:50:55.228011
1,2,5,0,5,2026-06-18T13:51:03.114722
1,3,5,0,5,2026-06-18T13:51:10.384899
1,4,4,0,4,2026-06-18T13:51:17.086549
1,5,5,0,5,2026-06-18T13:51:24.310124
1,6,5,0,5,2026-06-18T13:51:31.530459
1,7,5,0,5,2026-06-18T13:51:33.149985
1,8,5,0,5,2026-06-18T13:51:34.958356
1,9,5,0,5,2026-06-18T13:51:36.557439
1,10,5,0,5,2026-06-18T13:51:38.389842
2,1,4,0,4,2026-06-18T13:51:40.023433
2,2,5,0,5,2026-06-18T13:51:41.450112
2,3,5,0,5,2026-06-18T13:51:42.679748
2,4,5,0,5,2026-06-18T13:51:44.695581
2,5,5,0,5,2026-06-18T13:51:46.508683
2,6,5,0,5,2026-06-18T13:51:48.536690
2,7,5,0,5,2026-06-18T13:51:50.156680
2,8,5,0,5,2026-06-18T13:51:52.164920
2,9,5,0,5,2026-06-18T13:51:54.230604
2,10,5,0,5,2026-06-18T13:51:55.464078
3,1,3,0,3,2026-06-18T13:51:57.278469
3,2,0,0,0,2026-06-18T13:51:58.682412
3,3,3,0,3,2026-06-18T13:52:00.082185
3,4,3,0,3,2026-06-18T13:52:05.545097
3,5,3,0,3,2026-06-18T13:52:17.008888
3,6,0,0,0,2026-06-18T13:52:24.259827
3,7,0,0,0,2026-06-18T13:52:32.194013
3,8,3,0,3,2026-06-18T13:52:39.357033
3,9,3,0,3,2026-06-18T13:52:46.525926
3,10,3,0,3,2026-06-18T13:52:53.713404
4,1,3,0,3,2026-06-18T13:53:01.594106
4,2,3,0,3,2026-06-18T13:53:08.805727
4,3,3,0,3,2026-06-18T13:53:15.996697
4,4,3,0,3,2026-06-18T13:53:23.889556
4,5,3,0,3,2026-06-18T13:53:31.787990
4,6,3,0,3,2026-06-18T13:53:39.649275
4,7,3,0,3,2026-06-18T13:53:48.363794
4,8,2,0,2,2026-06-18T13:53:56.252635
4,9,3,0,3,2026-06-18T13:54:02.855515
4,10,2,0,2,2026-06-18T13:54:10.082380
5,1,3,0,3,2026-06-18T13:54:17.308495
5,2,3,0,3,2026-06-18T13:54:24.586409
5,3,4,0,4,2026-06-18T13:54:31.793134
5,4,3,0,3,2026-06-18T13:54:39.052167
5,5,3,0,3,2026-06-18T13:54:46.259629
5,6,3,0,3,2026-06-18T13:54:53.404048
5,7,3,0,3,2026-06-18T13:55:00.612711
5,8,3,0,3,2026-06-18T13:55:07.862929
5,9,3,0,3,2026-06-18T13:55:15.096985
5,10,3,0,3,2026-06-18T13:55:22.275736
6,1,5,0,5,2026-06-18T13:55:28.880751
6,2,5,0,5,2026-06-18T13:55:35.511418
6,3,5,0,5,2026-06-18T13:55:40.993508
6,4,5,0,5,2026-06-18T13:55:42.617576
6,5,5,0,5,2026-06-18T13:55:44.235419
6,6,5,0,5,2026-06-18T13:55:45.876545
6,7,5,0,5,2026-06-18T13:55:47.490927
6,8,5,0,5,2026-06-18T13:55:49.119869
6,9,5,0,5,2026-06-18T13:55:51.335444
6,10,5,0,5,2026-06-18T13:55:53.044382
7,1,5,0,5,2026-06-18T13:55:54.277065
7,2,5,0,5,2026-06-18T13:55:55.886228
7,3,5,0,5,2026-06-18T13:55:57.315069
7,4,5,0,5,2026-06-18T13:55:58.533178
7,5,5,0,5,2026-06-18T13:55:59.952232
7,6,5,0,5,2026-06-18T13:56:01.166861
7,7,5,0,5,2026-06-18T13:56:02.380217
7,8,5,0,5,2026-06-18T13:56:04.391442
7,9,5,0,5,2026-06-18T13:56:05.400892
7,10,5,0,5,2026-06-18T13:56:07.013452
8,1,4,0,4,2026-06-18T13:56:08.817579
8,2,4,0,4,2026-06-18T13:56:10.649904
8,3,4,0,4,2026-06-18T13:56:12.657964
8,4,4,0,4,2026-06-18T13:56:13.876275
8,5,4,0,4,2026-06-18T13:56:15.900019
8,6,3,0,3,2026-06-18T13:56:17.606896
8,7,4,0,4,2026-06-18T13:56:19.211780
8,8,3,0,3,2026-06-18T13:56:21.027601
8,9,3,0,3,2026-06-18T13:56:22.650142
8,10,3,0,3,2026-06-18T13:56:24.262001
9,1,2,0,2,2026-06-18T13:56:25.866478
9,2,2,0,2,2026-06-18T13:56:36.308002
9,3,3,0,3,2026-06-18T13:56:37.739872
9,4,2,0,2,2026-06-18T13:56:39.173015
9,5,3,0,3,2026-06-18T13:56:41.204894
9,6,2,0,2,2026-06-18T13:56:42.709318
9,7,2,0,2,2026-06-18T13:56:44.954870
9,8,2,0,2,2026-06-18T13:56:46.998951
9,9,2,0,2,2026-06-18T13:56:48.827868
9,10,3,0,3,2026-06-18T13:56:50.443653
10,1,3,0,3,2026-06-18T13:56:52.273954
10,2,3,0,3,2026-06-18T13:56:54.307307
10,3,3,0,3,2026-06-18T13:56:56.524682
10,4,3,0,3,2026-06-18T13:57:04.428145
10,5,3,0,3,2026-06-18T13:57:05.850602
10,6,3,0,3,2026-06-18T13:57:07.876837
10,7,3,0,3,2026-06-18T13:57:09.699955
10,8,3,0,3,2026-06-18T13:57:16.996846
10,9,3,0,3,2026-06-18T13:57:22.023757
10,10,0,0,0,2026-06-18T13:57:23.850789
11,1,5,0,5,2026-06-18T13:57:26.106976
11,2,5,0,5,2026-06-18T13:57:27.312319
11,3,5,0,5,2026-06-18T13:57:28.929524
11,4,5,0,5,2026-06-18T13:57:30.562336
11,5,5,0,5,2026-06-18T13:57:32.181906
11,6,5,0,5,2026-06-18T13:57:34.023403
11,7,5,0,5,2026-06-18T13:57:36.466886
11,8,5,0,5,2026-06-18T13:57:38.306697
11,9,5,0,5,2026-06-18T13:57:39.745552
11,10,5,0,5,2026-06-18T13:57:40.960786
12,1,5,0,5,2026-06-18T13:57:42.386082
12,2,5,0,5,2026-06-18T13:57:44.211657
12,3,5,0,5,2026-06-18T13:57:46.020101
12,4,5,0,5,2026-06-18T13:57:48.452053
12,5,5,0,5,2026-06-18T13:57:50.665663
12,6,5,0,5,2026-06-18T13:57:52.695836
12,7,5,0,5,2026-06-18T13:57:54.115594
12,8,5,0,5,2026-06-18T13:57:56.153313
12,9,5,0,5,2026-06-18T13:57:58.384529
12,10,5,0,5,2026-06-18T13:58:00.318900
13,1,3,0,3,2026-06-18T13:58:02.141540
13,2,3,0,3,2026-06-18T13:58:04.365191
13,3,4,0,4,2026-06-18T13:58:10.989956
13,4,4,0,4,2026-06-18T13:58:18.187522
13,5,4,0,4,2026-06-18T13:58:25.358773
13,6,3,0,3,2026-06-18T13:58:32.590142
13,7,3,0,3,2026-06-18T13:58:39.858178
13,8,3,0,3,2026-06-18T13:58:47.081707
13,9,3,0,3,2026-06-18T13:58:54.347865
13,10,4,0,4,2026-06-18T13:59:01.566877
14,1,4,0,4,2026-06-18T13:59:08.780374
14,2,4,0,4,2026-06-18T13:59:16.047381
14,3,4,0,4,2026-06-18T13:59:23.251632
14,4,4,0,4,2026-06-18T13:59:30.455351
14,5,4,0,4,2026-06-18T13:59:37.705160
14,6,4,0,4,2026-06-18T13:59:39.336370
14,7,4,0,4,2026-06-18T13:59:40.747966
14,8,4,0,4,2026-06-18T13:59:41.967730
14,9,4,0,4,2026-06-18T13:59:43.778019
14,10,4,0,4,2026-06-18T13:59:45.409764
15,1,0,0,0,2026-06-18T13:59:47.430836
15,2,0,0,0,2026-06-18T13:59:49.439484
15,3,0,0,0,2026-06-18T13:59:50.453483
15,4,0,0,0,2026-06-18T13:59:52.291725
15,5,0,0,0,2026-06-18T13:59:53.523939
15,6,0,0,0,2026-06-18T13:59:55.355729
15,7,0,0,0,2026-06-18T13:59:56.971943
15,8,0,0,0,2026-06-18T13:59:58.213234
15,9,0,0,0,2026-06-18T14:00:05.436344
15,10,0,0,0,2026-06-18T14:00:22.162556
16,1,5,0,5,2026-06-18T14:00:30.037615
16,2,5,0,5,2026-06-18T14:00:37.914579
16,3,5,0,5,2026-06-18T14:00:45.851294
16,4,5,0,5,2026-06-18T14:00:53.109885
16,5,5,0,5,2026-06-18T14:01:05.820367
