question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T20:40:15.716124
1,2,5,0,5,2026-06-18T20:40:22.370356
1,3,5,0,5,2026-06-18T20:40:29.014770
1,4,5,0,5,2026-06-18T20:40:35.721939
1,5,5,0,5,2026-06-18T20:40:42.329322
1,6,5,0,5,2026-06-18T20:40:49.656347
1,7,5,0,5,2026-06-18T20:40:57.006472
1,8,5,0,5,2026-06-18T20:41:04.281670
1,9,5,0,5,2026-06-18T20:41:10.879292
1,10,5,0,5,2026-06-18T20:41:17.540252
2,1,5,0,5,2026-06-18T20:41:24.247294
2,2,5,0,5,2026-06-18T20:41:30.886556
2,3,5,0,5,2026-06-18T20:41:37.512051
2,4,5,0,5,2026-06-18T20:41:44.776610
2,5,5,0,5,2026-06-18T20:41:52.087417
2,6,5,0,5,2026-06-18T20:41:58.857198
2,7,5,0,5,2026-06-18T20:42:05.205713
2,8,5,0,5,2026-06-18T20:42:11.903389
2,9,5,0,5,2026-06-18T20:42:19.183606
2,10,5,0,5,2026-06-18T20:42:25.878321
3,1,3,0,3,2026-06-18T20:42:32.541162
3,2,3,0,3,2026-06-18T20:42:39.995578
3,3,3,0,3,2026-06-18T20:42:47.292869
3,4,3,0,3,2026-06-18T20:42:54.006073
3,5,3,0,3,2026-06-18T20:43:00.685618
3,6,3,0,3,2026-06-18T20:43:08.072394
3,7,3,0,3,2026-06-18T20:43:14.736625
3,8,3,0,3,2026-06-18T20:43:22.020443
3,9,3,0,3,2026-06-18T20:43:29.305393
3,10,3,0,3,2026-06-18T20:43:38.886916
4,1,3,0,3,2026-06-18T20:43:45.580628
4,2,3,0,3,2026-06-18T20:43:52.275052
4,3,3,0,3,2026-06-18T20:43:59.594707
4,4,3,0,3,2026-06-18T20:44:06.291241
4,5,3,0,3,2026-06-18T20:44:13.530887
4,6,3,0,3,2026-06-18T20:44:20.879582
4,7,3,0,3,2026-06-18T20:44:27.551444
4,8,3,0,3,2026-06-18T20:44:34.868641
4,9,3,0,3,2026-06-18T20:44:42.115498
4,10,3,0,3,2026-06-18T20:44:49.410839
5,1,2,0,2,2026-06-18T20:44:56.122626
5,2,2,0,2,2026-06-18T20:45:03.473609
5,3,2,0,2,2026-06-18T20:45:10.144342
5,4,2,0,2,2026-06-18T20:45:17.005953
5,5,2,0,2,2026-06-18T20:45:23.760877
5,6,2,0,2,2026-06-18T20:45:30.768796
5,7,2,0,2,2026-06-18T20:45:36.873039
5,8,2,0,2,2026-06-18T20:45:43.543972
5,9,2,0,2,2026-06-18T20:45:50.873566
5,10,2,0,2,2026-06-18T20:45:57.547856
6,1,5,0,5,2026-06-18T20:46:04.314464
6,2,5,0,5,2026-06-18T20:46:11.079401
6,3,5,0,5,2026-06-18T20:46:17.710914
6,4,5,0,5,2026-06-18T20:46:24.371432
6,5,5,0,5,2026-06-18T20:46:31.687267
6,6,5,0,5,2026-06-18T20:46:39.021266
6,7,5,0,5,2026-06-18T20:46:46.243245
6,8,5,0,5,2026-06-18T20:46:52.952353
6,9,5,0,5,2026-06-18T20:46:59.602638
6,10,5,0,5,2026-06-18T20:47:06.926283
7,1,5,0,5,2026-06-18T20:47:13.614782
7,2,5,0,5,2026-06-18T20:47:20.292445
7,3,5,0,5,2026-06-18T20:47:27.510547
7,4,5,0,5,2026-06-18T20:47:34.222847
7,5,5,0,5,2026-06-18T20:47:41.425227
7,6,5,0,5,2026-06-18T20:47:48.127855
7,7,5,0,5,2026-06-18T20:47:55.391532
7,8,5,0,5,2026-06-18T20:48:02.017340
7,9,5,0,5,2026-06-18T20:48:08.652629
7,10,5,0,5,2026-06-18T20:48:15.357461
8,1,4,0,4,2026-06-18T20:48:22.646329
8,2,4,0,4,2026-06-18T20:48:24.720935
8,3,4,0,4,2026-06-18T20:48:31.388211
8,4,4,0,4,2026-06-18T20:48:38.048894
8,5,4,0,4,2026-06-18T20:48:44.691944
8,6,4,0,4,2026-06-18T20:48:52.062950
8,7,4,0,4,2026-06-18T20:48:58.722704
8,8,4,0,4,2026-06-18T20:49:05.408842
8,9,4,0,4,2026-06-18T20:49:12.684148
8,10,4,0,4,2026-06-18T20:49:19.365621
9,1,2,0,2,2026-06-18T20:49:26.680667
9,2,2,0,2,2026-06-18T20:49:33.326992
9,3,2,0,2,2026-06-18T20:49:39.970168
9,4,2,0,2,2026-06-18T20:49:47.248870
9,5,2,0,2,2026-06-18T20:49:53.915083
9,6,2,0,2,2026-06-18T20:50:01.268696
9,7,2,0,2,2026-06-18T20:50:07.986291
9,8,2,0,2,2026-06-18T20:50:14.697270
9,9,2,0,2,2026-06-18T20:50:21.960052
9,10,2,0,2,2026-06-18T20:50:28.610985
10,1,2,0,2,2026-06-18T20:50:35.900741
10,2,2,0,2,2026-06-18T20:50:42.534302
10,3,2,0,2,2026-06-18T20:50:49.154604
10,4,2,0,2,2026-06-18T20:50:56.447821
10,5,2,0,2,2026-06-18T20:51:03.099930
10,6,2,0,2,2026-06-18T20:51:10.450361
10,7,2,0,2,2026-06-18T20:51:17.708053
10,8,2,0,2,2026-06-18T20:51:24.314869
10,9,2,0,2,2026-06-18T20:51:31.549218
10,10,2,0,2,2026-06-18T20:51:37.646285
11,1,5,0,5,2026-06-18T20:51:44.345397
11,2,5,0,5,2026-06-18T20:51:51.013162
11,3,5,0,5,2026-06-18T20:51:57.673396
11,4,5,0,5,2026-06-18T20:52:04.357248
11,5,5,0,5,2026-06-18T20:52:11.658916
