question_id,run_index,rating,failures,response,collected_at
1,1,4,0,4,2026-06-23T13:09:05.797356
1,2,4,0,4,2026-06-23T13:09:12.541779
1,3,4,0,4,2026-06-23T13:09:14.606720
1,4,4,0,4,2026-06-23T13:09:15.468922
1,5,4,0,4,2026-06-23T13:09:16.533375
1,6,5,0,5,2026-06-23T13:09:17.594451
1,7,5,0,5,2026-06-23T13:09:21.139529
1,8,4,0,4,2026-06-23T13:09:22.803757
1,9,4,0,4,2026-06-23T13:09:24.478586
1,10,4,0,4,2026-06-23T13:09:25.737268
2,1,5,0,5,2026-06-23T13:09:33.178589
2,2,5,0,5,2026-06-23T13:09:34.824263
2,3,5,0,5,2026-06-23T13:09:36.067297
2,4,5,0,5,2026-06-23T13:09:37.374457
2,5,5,0,5,2026-06-23T13:09:39.244015
2,6,5,0,5,2026-06-23T13:09:40.101366
2,7,5,0,5,2026-06-23T13:09:41.564083
2,8,4,0,4,2026-06-23T13:09:43.449324
2,9,4,0,4,2026-06-23T13:09:44.499153
2,10,5,0,5,2026-06-23T13:09:52.582626
3,1,3,0,3,2026-06-23T13:09:54.437642
3,2,3,0,3,2026-06-23T13:09:56.710479
3,3,3,0,3,2026-06-23T13:10:02.797065
3,4,3,0,3,2026-06-23T13:10:05.503226
3,5,3,0,3,2026-06-23T13:10:06.976739
3,6,3,0,3,2026-06-23T13:10:08.647649
3,7,3,0,3,2026-06-23T13:10:10.126935
3,8,3,0,3,2026-06-23T13:10:11.797788
3,9,3,0,3,2026-06-23T13:10:13.068069
3,10,3,0,3,2026-06-23T13:10:14.148578
4,1,3,0,3,2026-06-23T13:10:16.217836
4,2,3,0,3,2026-06-23T13:10:18.109695
4,3,3,0,3,2026-06-23T13:10:19.791489
4,4,3,0,3,2026-06-23T13:10:21.060428
4,5,3,0,3,2026-06-23T13:10:22.523679
4,6,3,0,3,2026-06-23T13:10:24.577872
4,7,3,0,3,2026-06-23T13:10:25.426097
4,8,3,0,3,2026-06-23T13:10:27.069737
4,9,3,0,3,2026-06-23T13:10:28.721096
4,10,3,0,3,2026-06-23T13:10:30.978030
5,1,3,0,3,2026-06-23T13:10:32.448528
5,2,3,0,3,2026-06-23T13:10:34.321947
5,3,3,0,3,2026-06-23T13:10:41.005119
5,4,3,0,3,2026-06-23T13:10:42.452506
5,5,3,0,3,2026-06-23T13:10:44.104117
5,6,3,0,3,2026-06-23T13:10:45.563045
5,7,3,0,3,2026-06-23T13:10:46.607827
5,8,3,0,3,2026-06-23T13:10:47.873111
5,9,3,0,3,2026-06-23T13:10:49.519276
5,10,3,0,3,2026-06-23T13:10:51.195585
6,1,5,0,5,2026-06-23T13:10:58.637972
6,2,5,0,5,2026-06-23T13:10:59.913538
6,3,5,0,5,2026-06-23T13:11:00.777969
6,4,5,0,5,2026-06-23T13:11:02.064228
6,5,5,0,5,2026-06-23T13:11:03.739958
6,6,5,0,5,2026-06-23T13:11:10.461669
6,7,5,0,5,2026-06-23T13:11:12.949699
6,8,5,0,5,2026-06-23T13:11:17.162573
6,9,5,0,5,2026-06-23T13:11:23.849538
6,10,5,0,5,2026-06-23T13:11:25.509952
7,1,4,0,4,2026-06-23T13:11:27.169736
7,2,4,0,4,2026-06-23T13:11:28.621171
7,3,4,0,4,2026-06-23T13:11:29.672444
7,4,4,0,4,2026-06-23T13:11:32.181209
7,5,4,0,4,2026-06-23T13:11:33.236825
7,6,4,0,4,2026-06-23T13:11:34.709046
7,7,4,0,4,2026-06-23T13:11:35.993486
7,8,4,0,4,2026-06-23T13:11:37.913842
7,9,4,0,4,2026-06-23T13:11:39.237560
7,10,4,0,4,2026-06-23T13:11:40.906880
8,1,4,0,4,2026-06-23T13:11:47.673134
8,2,4,0,4,2026-06-23T13:11:48.523809
8,3,4,0,4,2026-06-23T13:11:49.596818
8,4,4,0,4,2026-06-23T13:11:51.246769
8,5,4,0,4,2026-06-23T13:11:52.726213
8,6,4,0,4,2026-06-23T13:11:59.402474
8,7,3,0,3,2026-06-23T13:12:00.886382
8,8,4,0,4,2026-06-23T13:12:02.374007
8,9,4,0,4,2026-06-23T13:12:03.208093
8,10,4,0,4,2026-06-23T13:12:04.912746
9,1,3,0,3,2026-06-23T13:12:07.629614
9,2,2,0,2,2026-06-23T13:12:08.694396
9,3,2,0,2,2026-06-23T13:12:10.177749
9,4,2,0,2,2026-06-23T13:12:17.566171
9,5,2,0,2,2026-06-23T13:12:19.236729
9,6,2,0,2,2026-06-23T13:12:20.504372
9,7,2,0,2,2026-06-23T13:12:22.165221
9,8,2,0,2,2026-06-23T13:12:29.532720
9,9,2,0,2,2026-06-23T13:12:31.011254
9,10,2,0,2,2026-06-23T13:12:32.680396
10,1,2,0,2,2026-06-23T13:12:34.237572
10,2,2,0,2,2026-06-23T13:12:35.493615
10,3,2,0,2,2026-06-23T13:12:36.964231
10,4,2,0,2,2026-06-23T13:12:38.243204
10,5,2,0,2,2026-06-23T13:12:39.915204
10,6,2,0,2,2026-06-23T13:12:41.572488
10,7,2,0,2,2026-06-23T13:12:48.297262
10,8,2,0,2,2026-06-23T13:12:49.364053
10,9,2,0,2,2026-06-23T13:12:50.411296
10,10,2,0,2,2026-06-23T13:12:51.883741
11,1,5,0,5,2026-06-23T13:12:53.571716
11,2,5,0,5,2026-06-23T13:12:55.033085
11,3,5,0,5,2026-06-23T13:12:56.097416
11,4,5,0,5,2026-06-23T13:12:57.767692
11,5,5,0,5,2026-06-23T13:12:59.437013
11,6,5,0,5,2026-06-23T13:13:06.943676
11,7,5,0,5,2026-06-23T13:13:09.018299
11,8,4,0,4,2026-06-23T13:13:10.086279
11,9,5,0,5,2026-06-23T13:13:11.529686
11,10,5,0,5,2026-06-23T13:13:12.809933
12,1,5,0,5,2026-06-23T13:13:14.668193
12,2,5,0,5,2026-06-23T13:13:16.331980
12,3,5,0,5,2026-06-23T13:13:18.193336
12,4,5,0,5,2026-06-23T13:13:24.916652
12,5,5,0,5,2026-06-23T13:13:26.381385
12,6,5,0,5,2026-06-23T13:13:27.423530
12,7,5,0,5,2026-06-23T13:13:28.882988
12,8,5,0,5,2026-06-23T13:13:29.736380
12,9,5,0,5,2026-06-23T13:13:31.634074
12,10,5,0,5,2026-06-23T13:13:33.099596
13,1,3,0,3,2026-06-23T13:13:34.766156
13,2,3,0,3,2026-06-23T13:13:36.217142
13,3,3,0,3,2026-06-23T13:13:37.285987
13,4,3,0,3,2026-06-23T13:13:38.736728
13,5,3,0,3,2026-06-23T13:13:40.594200
13,6,3,0,3,2026-06-23T13:13:42.262562
13,7,3,0,3,2026-06-23T13:13:44.165894
13,8,3,0,3,2026-06-23T13:13:45.827378
13,9,3,0,3,2026-06-23T13:13:46.903939
13,10,3,0,3,2026-06-23T13:13:48.760109
14,1,4,0,4,2026-06-23T13:13:50.020764
14,2,3,0,3,2026-06-23T13:13:51.689199
14,3,3,0,3,2026-06-23T13:13:53.556034
14,4,3,0,3,2026-06-23T13:13:54.609682
14,5,3,0,3,2026-06-23T13:13:55.662932
14,6,3,0,3,2026-06-23T13:13:57.366133
14,7,3,0,3,2026-06-23T13:13:58.604928
14,8,4,0,4,2026-06-23T13:14:05.987692
14,9,3,0,3,2026-06-23T13:14:07.658887
14,10,3,0,3,2026-06-23T13:14:08.754064
15,1,5,0,5,2026-06-23T13:14:09.596351
15,2,5,0,5,2026-06-23T13:14:10.658503
15,3,5,0,5,2026-06-23T13:14:18.015621
15,4,5,0,5,2026-06-23T13:14:19.275235
15,5,5,0,5,2026-06-23T13:14:20.329540
15,6,5,0,5,2026-06-23T13:14:21.591933
15,7,5,0,5,2026-06-23T13:14:22.867123
15,8,5,0,5,2026-06-23T13:14:29.633861
15,9,5,0,5,2026-06-23T13:14:30.689877
15,10,5,0,5,2026-06-23T13:14:31.755327
16,1,5,0,5,2026-06-23T13:14:33.045391
16,2,5,0,5,2026-06-23T13:14:34.294904
16,3,5,0,5,2026-06-23T13:14:42.384378
16,4,5,0,5,2026-06-23T13:14:44.654611
16,5,5,0,5,2026-06-23T13:14:45.506257
16,6,5,0,5,2026-06-23T13:14:47.185027
16,7,5,0,5,2026-06-23T13:14:54.532607
16,8,5,0,5,2026-06-23T13:14:55.995118
16,9,5,0,5,2026-06-23T13:14:57.662098
16,10,5,0,5,2026-06-23T13:14:59.342266
17,1,5,0,5,2026-06-23T13:15:00.199056
17,2,5,0,5,2026-06-23T13:15:06.888058
17,3,5,0,5,2026-06-23T13:15:09.152005
17,4,5,0,5,2026-06-23T13:15:10.823229
17,5,5,0,5,2026-06-23T13:15:12.483637
17,6,5,0,5,2026-06-23T13:15:14.184723
17,7,5,0,5,2026-06-23T13:15:15.654662
17,8,5,0,5,2026-06-23T13:15:17.516107
17,9,5,0,5,2026-06-23T13:15:20.226690
17,10,5,0,5,2026-06-23T13:15:21.480855
18,1,5,0,5,2026-06-23T13:15:22.919444
18,2,5,0,5,2026-06-23T13:15:24.172942
18,3,5,0,5,2026-06-23T13:15:25.227122
18,4,5,0,5,2026-06-23T13:15:26.299406
18,5,5,0,5,2026-06-23T13:15:27.538332
18,6,5,0,5,2026-06-23T13:15:28.794482
18,7,4,0,4,2026-06-23T13:15:30.077156
18,8,5,0,5,2026-06-23T13:15:32.134276
18,9,5,0,5,2026-06-23T13:15:33.654673
18,10,5,0,5,2026-06-23T13:15:34.715747
19,1,5,0,5,2026-06-23T13:15:35.957494
19,2,5,0,5,2026-06-23T13:15:37.607041
19,3,4,0,4,2026-06-23T13:15:38.641355
19,4,5,0,5,2026-06-23T13:15:40.091032
19,5,4,0,4,2026-06-23T13:15:41.144432
19,6,5,0,5,2026-06-23T13:15:42.598960
19,7,5,0,5,2026-06-23T13:15:48.733364
19,8,5,0,5,2026-06-23T13:15:51.219305
19,9,5,0,5,2026-06-23T13:15:52.676060
19,10,5,0,5,2026-06-23T13:15:53.815456
20,1,4,0,4,2026-06-23T13:15:54.874116
