question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T04:42:29.164404
1,2,5,0,5,2026-06-18T04:42:31.208640
1,3,5,0,5,2026-06-18T04:42:32.399978
1,4,5,0,5,2026-06-18T04:42:33.822053
1,5,5,0,5,2026-06-18T04:42:35.229647
1,6,5,0,5,2026-06-18T04:42:36.241517
1,7,5,0,5,2026-06-18T04:42:37.435854
1,8,5,0,5,2026-06-18T04:42:44.643116
1,9,5,0,5,2026-06-18T04:42:47.081808
1,10,5,0,5,2026-06-18T04:42:48.295117
2,1,5,0,5,2026-06-18T04:42:50.540737
2,2,5,0,5,2026-06-18T04:42:51.532521
2,3,5,0,5,2026-06-18T04:42:53.545831
2,4,5,0,5,2026-06-18T04:42:54.759897
2,5,5,0,5,2026-06-18T04:42:55.786755
2,6,5,0,5,2026-06-18T04:42:58.205427
2,7,5,0,5,2026-06-18T04:43:01.094782
2,8,5,0,5,2026-06-18T04:43:02.951848
2,9,5,0,5,2026-06-18T04:43:10.822503
2,10,5,0,5,2026-06-18T04:43:37.409496
3,1,3,0,3,2026-06-18T04:44:05.623204
3,2,2,0,2,2026-06-18T04:44:07.034728
3,3,2,0,2,2026-06-18T04:44:09.043502
3,4,2,0,2,2026-06-18T04:44:10.459234
3,5,3,0,3,2026-06-18T04:44:12.453564
3,6,2,0,2,2026-06-18T04:44:14.460768
3,7,2,0,2,2026-06-18T04:44:15.662449
3,8,2,0,2,2026-06-18T04:44:18.818985
3,9,2,0,2,2026-06-18T04:44:26.012314
3,10,2,0,2,2026-06-18T04:44:28.456986
4,1,2,0,2,2026-06-18T04:44:31.611971
4,2,2,0,2,2026-06-18T04:44:33.028906
4,3,2,0,2,2026-06-18T04:44:35.047834
4,4,2,0,2,2026-06-18T04:44:36.055343
4,5,2,0,2,2026-06-18T04:44:37.278304
4,6,2,0,2,2026-06-18T04:44:39.084732
4,7,2,0,2,2026-06-18T04:44:41.112630
4,8,2,0,2,2026-06-18T04:44:43.111388
4,9,2,0,2,2026-06-18T04:44:50.300832
4,10,2,0,2,2026-06-18T04:44:52.107135
5,1,0,0,0,2026-06-18T04:44:53.935551
5,2,2,0,2,2026-06-18T04:44:55.538154
5,3,0,0,0,2026-06-18T04:44:56.829393
5,4,2,0,2,2026-06-18T04:44:58.452453
5,5,2,0,2,2026-06-18T04:45:08.886847
5,6,2,0,2,2026-06-18T04:45:10.091754
5,7,0,0,0,2026-06-18T04:45:11.314214
5,8,0,0,0,2026-06-18T04:45:13.723339
5,9,2,0,2,2026-06-18T04:45:15.334235
5,10,2,0,2,2026-06-18T04:45:21.988937
6,1,5,0,5,2026-06-18T04:45:23.612050
6,2,5,0,5,2026-06-18T04:45:24.583998
6,3,5,0,5,2026-06-18T04:45:26.194118
6,4,5,0,5,2026-06-18T04:45:28.206878
6,5,5,0,5,2026-06-18T04:45:30.019039
6,6,5,0,5,2026-06-18T04:45:31.419731
6,7,5,0,5,2026-06-18T04:45:32.877069
6,8,5,0,5,2026-06-18T04:45:33.898114
6,9,5,0,5,2026-06-18T04:45:35.921509
6,10,5,0,5,2026-06-18T04:45:37.786777
7,1,5,0,5,2026-06-18T04:45:39.194651
7,2,5,0,5,2026-06-18T04:45:40.612268
7,3,5,0,5,2026-06-18T04:45:42.016813
7,4,5,0,5,2026-06-18T04:45:44.034087
7,5,5,0,5,2026-06-18T04:45:45.638430
7,6,5,0,5,2026-06-18T04:45:47.082801
7,7,5,0,5,2026-06-18T04:45:48.882690
7,8,5,0,5,2026-06-18T04:45:49.889748
7,9,5,0,5,2026-06-18T04:45:51.895384
7,10,5,0,5,2026-06-18T04:45:53.709238
8,1,3,0,3,2026-06-18T04:45:54.700244
8,2,3,0,3,2026-06-18T04:45:55.884771
8,3,3,0,3,2026-06-18T04:45:57.696860
8,4,3,0,3,2026-06-18T04:45:59.516170
8,5,3,0,3,2026-06-18T04:46:01.324465
8,6,3,0,3,2026-06-18T04:46:04.203698
8,7,3,0,3,2026-06-18T04:46:06.039106
8,8,3,0,3,2026-06-18T04:46:07.855998
8,9,3,0,3,2026-06-18T04:46:09.071110
8,10,3,0,3,2026-06-18T04:46:10.294620
9,1,2,0,2,2026-06-18T04:46:12.097613
9,2,2,0,2,2026-06-18T04:46:13.506852
9,3,2,0,2,2026-06-18T04:46:15.324519
9,4,2,0,2,2026-06-18T04:46:16.526584
9,5,2,0,2,2026-06-18T04:46:18.565915
9,6,2,0,2,2026-06-18T04:46:20.383533
9,7,2,0,2,2026-06-18T04:46:23.242961
9,8,2,0,2,2026-06-18T04:46:25.266717
9,9,2,0,2,2026-06-18T04:46:26.508593
9,10,2,0,2,2026-06-18T04:46:28.735798
10,1,2,0,2,2026-06-18T04:46:32.471165
10,2,2,0,2,2026-06-18T04:46:50.900037
10,3,2,0,2,2026-06-18T04:46:55.099450
10,4,2,0,2,2026-06-18T04:47:02.376232
10,5,2,0,2,2026-06-18T04:47:03.613019
10,6,2,0,2,2026-06-18T04:47:05.107038
10,7,2,0,2,2026-06-18T04:47:06.526818
