question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-21T04:21:54.329924
1,2,5,0,5,2026-06-21T04:21:55.188831
1,3,5,0,5,2026-06-21T04:21:56.028834
1,4,5,0,5,2026-06-21T04:21:57.257960
1,5,5,0,5,2026-06-21T04:21:58.926799
1,6,5,0,5,2026-06-21T04:21:59.984193
1,7,5,0,5,2026-06-21T04:22:01.028303
1,8,5,0,5,2026-06-21T04:22:02.879326
1,9,5,0,5,2026-06-21T04:22:03.925130
1,10,5,0,5,2026-06-21T04:22:05.170868
2,1,5,0,5,2026-06-21T04:22:07.088049
2,2,5,0,5,2026-06-21T04:22:08.728706
2,3,5,0,5,2026-06-21T04:22:10.374091
2,4,5,0,5,2026-06-21T04:22:11.801869
2,5,5,0,5,2026-06-21T04:22:12.819390
2,6,5,0,5,2026-06-21T04:22:14.068138
2,7,5,0,5,2026-06-21T04:22:15.291344
2,8,5,0,5,2026-06-21T04:22:17.113963
2,9,5,0,5,2026-06-21T04:22:18.755409
2,10,5,0,5,2026-06-21T04:22:20.204374
3,1,3,0,3,2026-06-21T04:22:22.254692
3,2,3,0,3,2026-06-21T04:22:24.116339
3,3,3,0,3,2026-06-21T04:22:25.158410
3,4,4,0,4,2026-06-21T04:22:26.203889
3,5,3,0,3,2026-06-21T04:22:27.242853
3,6,3,0,3,2026-06-21T04:22:29.072580
3,7,3,0,3,2026-06-21T04:22:30.916632
3,8,3,0,3,2026-06-21T04:22:32.161129
3,9,3,0,3,2026-06-21T04:22:33.609947
3,10,3,0,3,2026-06-21T04:22:35.261595
4,1,3,0,3,2026-06-21T04:22:36.601884
4,2,3,0,3,2026-06-21T04:22:37.855968
4,3,3,0,3,2026-06-21T04:22:39.307713
4,4,3,0,3,2026-06-21T04:22:40.534003
4,5,3,0,3,2026-06-21T04:22:42.575833
4,6,3,0,3,2026-06-21T04:22:43.616897
4,7,3,0,3,2026-06-21T04:22:45.267635
4,8,3,0,3,2026-06-21T04:22:46.320883
4,9,2,0,2,2026-06-21T04:22:47.963548
4,10,3,0,3,2026-06-21T04:22:49.043069
5,1,3,0,3,2026-06-21T04:22:49.877600
5,2,3,0,3,2026-06-21T04:22:51.132593
5,3,3,0,3,2026-06-21T04:22:52.578784
5,4,3,0,3,2026-06-21T04:22:54.024747
5,5,3,0,3,2026-06-21T04:22:55.874143
5,6,3,0,3,2026-06-21T04:22:57.726271
5,7,3,0,3,2026-06-21T04:22:58.977943
5,8,3,0,3,2026-06-21T04:23:00.621189
5,9,3,0,3,2026-06-21T04:23:02.079620
5,10,3,0,3,2026-06-21T04:23:03.124344
6,1,5,0,5,2026-06-21T04:23:04.561601
6,2,5,0,5,2026-06-21T04:23:05.620470
6,3,5,0,5,2026-06-21T04:23:07.063015
6,4,5,0,5,2026-06-21T04:23:08.509009
6,5,5,0,5,2026-06-21T04:23:09.766157
6,6,5,0,5,2026-06-21T04:23:11.203097
6,7,5,0,5,2026-06-21T04:23:13.025978
6,8,5,0,5,2026-06-21T04:23:14.875047
6,9,5,0,5,2026-06-21T04:23:15.952688
6,10,5,0,5,2026-06-21T04:23:17.599166
7,1,5,0,5,2026-06-21T04:23:18.854624
7,2,5,0,5,2026-06-21T04:23:19.879863
7,3,5,0,5,2026-06-21T04:23:21.518340
7,4,4,0,4,2026-06-21T04:23:23.533762
7,5,5,0,5,2026-06-21T04:23:24.989831
7,6,5,0,5,2026-06-21T04:23:26.240276
7,7,5,0,5,2026-06-21T04:23:27.671782
7,8,4,0,4,2026-06-21T04:23:28.914035
7,9,4,0,4,2026-06-21T04:23:30.347250
7,10,5,0,5,2026-06-21T04:23:31.991365
8,1,4,0,4,2026-06-21T04:23:33.639423
8,2,4,0,4,2026-06-21T04:23:34.890393
8,3,4,0,4,2026-06-21T04:23:35.970227
8,4,4,0,4,2026-06-21T04:23:37.200038
8,5,5,0,5,2026-06-21T04:23:39.041975
8,6,3,0,3,2026-06-21T04:23:40.681360
8,7,5,0,5,2026-06-21T04:23:41.733770
8,8,4,0,4,2026-06-21T04:23:42.992933
8,9,5,0,5,2026-06-21T04:23:44.223950
8,10,4,0,4,2026-06-21T04:23:45.672002
9,1,3,0,3,2026-06-21T04:23:46.517138
9,2,3,0,3,2026-06-21T04:23:48.180761
9,3,3,0,3,2026-06-21T04:23:49.022808
9,4,3,0,3,2026-06-21T04:23:50.873644
9,5,3,0,3,2026-06-21T04:23:51.951065
9,6,3,0,3,2026-06-21T04:23:53.204510
9,7,3,0,3,2026-06-21T04:23:54.639029
9,8,3,0,3,2026-06-21T04:23:56.280335
9,9,3,0,3,2026-06-21T04:23:57.704822
9,10,3,0,3,2026-06-21T04:23:58.766315
10,1,2,0,2,2026-06-21T04:24:00.024248
10,2,3,0,3,2026-06-21T04:24:01.469748
10,3,2,0,2,2026-06-21T04:24:02.631152
10,4,2,0,2,2026-06-21T04:24:04.076133
10,5,2,0,2,2026-06-21T04:24:05.934796
10,6,2,0,2,2026-06-21T04:24:07.193261
10,7,2,0,2,2026-06-21T04:24:08.259635
10,8,2,0,2,2026-06-21T04:24:09.310672
10,9,2,0,2,2026-06-21T04:24:10.785486
10,10,3,0,3,2026-06-21T04:24:12.633067
11,1,5,0,5,2026-06-21T04:24:13.668143
11,2,5,0,5,2026-06-21T04:24:14.729876
11,3,5,0,5,2026-06-21T04:24:15.789245
11,4,5,0,5,2026-06-21T04:24:16.863598
11,5,5,0,5,2026-06-21T04:24:18.520859
11,6,5,0,5,2026-06-21T04:24:20.177858
11,7,5,0,5,2026-06-21T04:24:21.247187
11,8,5,0,5,2026-06-21T04:24:23.101854
11,9,5,0,5,2026-06-21T04:24:24.349812
11,10,5,0,5,2026-06-21T04:24:25.795076
12,1,5,0,5,2026-06-21T04:24:26.853209
12,2,5,0,5,2026-06-21T04:24:28.302299
12,3,5,0,5,2026-06-21T04:24:29.555504
12,4,5,0,5,2026-06-21T04:24:30.607390
12,5,5,0,5,2026-06-21T04:24:32.055396
12,6,5,0,5,2026-06-21T04:24:33.332558
12,7,5,0,5,2026-06-21T04:24:35.187419
12,8,5,0,5,2026-06-21T04:24:36.855599
12,9,5,0,5,2026-06-21T04:24:38.305574
12,10,5,0,5,2026-06-21T04:24:39.762981
13,1,3,0,3,2026-06-21T04:24:41.610274
13,2,3,0,3,2026-06-21T04:24:42.837804
13,3,3,0,3,2026-06-21T04:24:43.894289
13,4,4,0,4,2026-06-21T04:24:45.537535
13,5,5,0,5,2026-06-21T04:24:46.787438
13,6,5,0,5,2026-06-21T04:24:48.452527
13,7,3,0,3,2026-06-21T04:24:49.912378
13,8,3,0,3,2026-06-21T04:24:51.780405
