question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-16T04:22:46.162627
1,2,5,0,5,2026-06-16T04:22:47.804298
1,3,5,0,5,2026-06-16T04:22:48.816824
1,4,5,0,5,2026-06-16T04:22:50.219042
1,5,5,0,5,2026-06-16T04:22:51.089068
1,6,5,0,5,2026-06-16T04:22:52.899920
1,7,5,0,5,2026-06-16T04:22:54.113387
1,8,5,0,5,2026-06-16T04:22:55.928467
1,9,5,0,5,2026-06-16T04:22:57.338291
1,10,5,0,5,2026-06-16T04:22:58.952601
2,1,5,0,5,2026-06-16T04:23:00.155631
2,2,5,0,5,2026-06-16T04:23:01.568098
2,3,5,0,5,2026-06-16T04:23:02.588865
2,4,5,0,5,2026-06-16T04:23:03.587791
2,5,5,0,5,2026-06-16T04:23:04.783632
2,6,5,0,5,2026-06-16T04:23:06.192482
2,7,5,0,5,2026-06-16T04:23:07.587819
2,8,5,0,5,2026-06-16T04:23:08.649004
2,9,5,0,5,2026-06-16T04:23:09.854015
2,10,5,0,5,2026-06-16T04:23:11.273583
3,1,3,0,3,2026-06-16T04:23:12.286963
3,2,3,0,3,2026-06-16T04:23:13.914316
3,3,2,0,2,2026-06-16T04:23:14.909556
3,4,3,0,3,2026-06-16T04:23:15.928025
3,5,3,0,3,2026-06-16T04:23:17.348740
3,6,3,0,3,2026-06-16T04:23:18.960324
3,7,3,0,3,2026-06-16T04:23:20.162500
3,8,2,0,2,2026-06-16T04:23:21.962570
3,9,3,0,3,2026-06-16T04:23:23.785396
3,10,3,0,3,2026-06-16T04:23:24.989653
4,1,0,0,0,2026-06-16T04:23:26.597977
4,2,3,0,3,2026-06-16T04:23:28.419211
4,3,3,0,3,2026-06-16T04:23:30.015765
4,4,3,0,3,2026-06-16T04:23:31.833004
4,5,0,0,0,2026-06-16T04:23:33.044637
4,6,2,0,2,2026-06-16T04:23:34.086067
4,7,0,0,0,2026-06-16T04:23:35.093382
4,8,3,0,3,2026-06-16T04:23:36.499120
4,9,3,0,3,2026-06-16T04:23:38.313989
4,10,3,0,3,2026-06-16T04:23:39.558382
5,1,5,0,5,2026-06-16T04:23:40.549327
5,2,5,0,5,2026-06-16T04:23:42.048669
5,3,0,0,0,2026-06-16T04:23:43.252960
5,4,0,0,0,2026-06-16T04:23:45.260539
5,5,0,0,0,2026-06-16T04:23:46.269727
5,6,0,0,0,2026-06-16T04:23:48.151984
5,7,5,0,5,2026-06-16T04:23:49.144871
5,8,0,0,0,2026-06-16T04:23:50.942826
5,9,0,0,0,2026-06-16T04:23:52.129648
5,10,0,0,0,2026-06-16T04:23:53.737313
6,1,5,0,5,2026-06-16T04:23:55.156153
6,2,5,0,5,2026-06-16T04:23:56.962549
6,3,5,0,5,2026-06-16T04:23:58.573952
6,4,5,0,5,2026-06-16T04:23:59.595165
6,5,5,0,5,2026-06-16T04:24:00.603051
6,6,5,0,5,2026-06-16T04:24:02.008506
6,7,5,0,5,2026-06-16T04:24:03.430593
6,8,5,0,5,2026-06-16T04:24:04.436842
6,9,5,0,5,2026-06-16T04:24:05.643426
6,10,5,0,5,2026-06-16T04:24:07.055749
7,1,5,0,5,2026-06-16T04:24:08.468727
7,2,5,0,5,2026-06-16T04:24:10.267673
7,3,5,0,5,2026-06-16T04:24:11.481871
7,4,5,0,5,2026-06-16T04:24:13.297013
7,5,5,0,5,2026-06-16T04:24:14.525692
7,6,5,0,5,2026-06-16T04:24:16.127159
7,7,5,0,5,2026-06-16T04:24:17.911237
7,8,5,0,5,2026-06-16T04:24:19.522211
7,9,5,0,5,2026-06-16T04:24:20.872809
7,10,5,0,5,2026-06-16T04:24:22.080956
8,1,3,0,3,2026-06-16T04:24:23.494942
8,2,5,0,5,2026-06-16T04:24:24.717435
8,3,3,0,3,2026-06-16T04:24:25.937092
8,4,5,0,5,2026-06-16T04:24:27.330943
8,5,3,0,3,2026-06-16T04:24:28.523835
8,6,5,0,5,2026-06-16T04:24:29.917648
8,7,5,0,5,2026-06-16T04:24:31.329547
8,8,3,0,3,2026-06-16T04:24:32.751610
8,9,5,0,5,2026-06-16T04:24:33.774565
8,10,5,0,5,2026-06-16T04:24:34.788137
9,1,3,0,3,2026-06-16T04:24:36.609108
9,2,3,0,3,2026-06-16T04:24:38.209448
9,3,2,0,2,2026-06-16T04:24:40.024308
9,4,3,0,3,2026-06-16T04:24:41.408555
9,5,3,0,3,2026-06-16T04:24:42.407746
9,6,3,0,3,2026-06-16T04:24:43.613573
9,7,3,0,3,2026-06-16T04:24:45.027553
9,8,2,0,2,2026-06-16T04:24:46.446732
9,9,3,0,3,2026-06-16T04:24:47.849760
9,10,2,0,2,2026-06-16T04:24:48.863193
10,1,0,0,0,2026-06-16T04:24:50.660124
10,2,0,0,0,2026-06-16T04:24:52.266701
10,3,0,0,0,2026-06-16T04:24:53.273710
10,4,0,0,0,2026-06-16T04:24:54.272655
10,5,0,0,0,2026-06-16T04:24:55.265626
10,6,0,0,0,2026-06-16T04:24:56.488877
10,7,0,0,0,2026-06-16T04:24:58.309390
10,8,0,0,0,2026-06-16T04:24:59.728251
10,9,0,0,0,2026-06-16T04:25:00.737386
10,10,0,0,0,2026-06-16T04:25:01.776503
11,1,5,0,5,2026-06-16T04:25:03.607296
11,2,5,0,5,2026-06-16T04:25:04.817694
11,3,5,0,5,2026-06-16T04:25:06.632540
11,4,5,0,5,2026-06-16T04:25:08.062533
11,5,5,0,5,2026-06-16T04:25:09.996031
11,6,5,0,5,2026-06-16T04:25:11.588301
11,7,5,0,5,2026-06-16T04:25:12.595929
