question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-17T07:52:00.790644
1,2,5,0,5,2026-06-17T07:52:07.995963
1,3,5,0,5,2026-06-17T07:52:10.005382
1,4,5,0,5,2026-06-17T07:52:11.404619
1,5,5,0,5,2026-06-17T07:52:12.621226
1,6,5,0,5,2026-06-17T07:52:14.242277
1,7,5,0,5,2026-06-17T07:52:15.840196
1,8,5,0,5,2026-06-17T07:52:17.040591
1,9,5,0,5,2026-06-17T07:52:17.860411
1,10,5,0,5,2026-06-17T07:52:25.769822
2,1,5,0,5,2026-06-17T07:52:27.428857
2,2,5,0,5,2026-06-17T07:52:28.431193
2,3,5,0,5,2026-06-17T07:52:30.238208
2,4,5,0,5,2026-06-17T07:52:31.235301
2,5,5,0,5,2026-06-17T07:52:38.484636
2,6,5,0,5,2026-06-17T07:52:40.298360
2,7,5,0,5,2026-06-17T07:52:42.097017
2,8,5,0,5,2026-06-17T07:52:43.509446
2,9,5,0,5,2026-06-17T07:52:44.932214
2,10,5,0,5,2026-06-17T07:52:46.721832
3,1,3,0,3,2026-06-17T07:52:47.714751
3,2,2,0,2,2026-06-17T07:52:55.607505
3,3,2,0,2,2026-06-17T07:52:57.622627
3,4,3,0,3,2026-06-17T07:52:59.431395
3,5,3,0,3,2026-06-17T07:53:00.830306
3,6,3,0,3,2026-06-17T07:53:07.394066
3,7,3,0,3,2026-06-17T07:53:09.234745
3,8,2,0,2,2026-06-17T07:53:10.280698
3,9,3,0,3,2026-06-17T07:53:12.073027
3,10,2,0,2,2026-06-17T07:53:13.063627
4,1,2,0,2,2026-06-17T07:53:14.267393
4,2,2,0,2,2026-06-17T07:53:16.070774
4,3,2,0,2,2026-06-17T07:53:17.679830
4,4,2,0,2,2026-06-17T07:53:19.301372
4,5,2,0,2,2026-06-17T07:53:20.503704
4,6,2,0,2,2026-06-17T07:53:22.300721
4,7,2,0,2,2026-06-17T07:53:23.702999
4,8,2,0,2,2026-06-17T07:53:24.505200
4,9,2,0,2,2026-06-17T07:53:26.102942
4,10,2,0,2,2026-06-17T07:53:27.915687
5,1,2,0,2,2026-06-17T07:53:29.110687
5,2,2,0,2,2026-06-17T07:53:30.925303
5,3,2,0,2,2026-06-17T07:53:32.516432
5,4,2,0,2,2026-06-17T07:53:33.728056
5,5,2,0,2,2026-06-17T07:53:34.725755
5,6,2,0,2,2026-06-17T07:53:41.839524
