question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-18T06:40:08.061906
1,2,5,0,5,2026-06-18T06:40:12.179407
1,3,5,0,5,2026-06-18T06:40:13.992106
1,4,5,0,5,2026-06-18T06:40:15.814558
1,5,5,0,5,2026-06-18T06:40:17.626723
1,6,5,0,5,2026-06-18T06:40:18.625299
1,7,5,0,5,2026-06-18T06:40:26.509743
1,8,5,0,5,2026-06-18T06:40:27.915356
1,9,5,0,5,2026-06-18T06:40:29.540476
1,10,5,0,5,2026-06-18T06:40:30.943541
2,1,5,0,5,2026-06-18T06:40:32.155144
2,2,5,0,5,2026-06-18T06:40:33.965958
2,3,5,0,5,2026-06-18T06:40:35.541330
2,4,5,0,5,2026-06-18T06:40:36.739038
2,5,5,0,5,2026-06-18T06:40:40.857933
2,6,5,0,5,2026-06-18T06:40:45.378418
2,7,5,0,5,2026-06-18T06:40:46.823845
2,8,5,0,5,2026-06-18T06:40:53.417467
2,9,5,0,5,2026-06-18T06:40:54.831375
2,10,5,0,5,2026-06-18T06:41:01.409539
3,1,2,0,2,2026-06-18T06:41:04.058303
3,2,2,0,2,2026-06-18T06:41:06.273287
3,3,2,0,2,2026-06-18T06:41:07.295777
3,4,2,0,2,2026-06-18T06:41:09.305670
3,5,2,0,2,2026-06-18T06:41:11.313142
3,6,2,0,2,2026-06-18T06:41:12.709067
3,7,2,0,2,2026-06-18T06:41:14.125267
3,8,2,0,2,2026-06-18T06:41:16.134334
3,9,2,0,2,2026-06-18T06:41:17.967916
3,10,2,0,2,2026-06-18T06:41:19.567649
4,1,2,0,2,2026-06-18T06:41:21.604940
4,2,2,0,2,2026-06-18T06:41:22.621546
4,3,2,0,2,2026-06-18T06:41:30.492015
4,4,2,0,2,2026-06-18T06:41:32.919453
4,5,2,0,2,2026-06-18T06:41:34.420898
4,6,2,0,2,2026-06-18T06:41:36.234563
4,7,2,0,2,2026-06-18T06:41:42.766575
4,8,2,0,2,2026-06-18T06:41:49.945099
4,9,2,0,2,2026-06-18T06:41:50.973360
4,10,2,0,2,2026-06-18T06:41:52.786960
5,1,0,0,0,2026-06-18T06:41:54.193142
