question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-22T23:22:21.485013
1,2,5,0,5,2026-06-22T23:22:23.141531
1,3,5,0,5,2026-06-22T23:22:24.388313
1,4,5,0,5,2026-06-22T23:22:25.439722
1,5,5,0,5,2026-06-22T23:22:26.893290
1,6,5,0,5,2026-06-22T23:22:27.927772
1,7,5,0,5,2026-06-22T23:22:29.575629
1,8,5,0,5,2026-06-22T23:22:31.471564
1,9,5,0,5,2026-06-22T23:22:32.935232
1,10,5,0,5,2026-06-22T23:22:34.590555
2,1,5,0,5,2026-06-22T23:22:35.833352
2,2,5,0,5,2026-06-22T23:22:37.694965
2,3,5,0,5,2026-06-22T23:22:39.356241
2,4,5,0,5,2026-06-22T23:22:41.014410
2,5,5,0,5,2026-06-22T23:22:42.480010
2,6,5,0,5,2026-06-22T23:22:44.336060
2,7,5,0,5,2026-06-22T23:22:45.355190
2,8,5,0,5,2026-06-22T23:22:46.611769
2,9,5,0,5,2026-06-22T23:22:47.654300
2,10,5,0,5,2026-06-22T23:22:49.521939
3,1,3,0,3,2026-06-22T23:22:50.768269
3,2,3,0,3,2026-06-22T23:22:52.227987
3,3,3,0,3,2026-06-22T23:22:53.291842
3,4,0,0,0,2026-06-22T23:22:54.336194
3,5,3,0,3,2026-06-22T23:22:55.787165
3,6,3,0,3,2026-06-22T23:22:57.038032
3,7,3,0,3,2026-06-22T23:22:58.697474
3,8,3,0,3,2026-06-22T23:22:59.933421
3,9,3,0,3,2026-06-22T23:23:01.810173
3,10,0,0,0,2026-06-22T23:23:02.871772
4,1,0,0,0,2026-06-22T23:23:04.738089
4,2,0,0,0,2026-06-22T23:23:06.403356
4,3,0,0,0,2026-06-22T23:23:07.279417
4,4,0,0,0,2026-06-22T23:23:08.351011
4,5,0,0,0,2026-06-22T23:23:09.800626
4,6,0,0,0,2026-06-22T23:23:10.653138
4,7,0,0,0,2026-06-22T23:23:12.115680
4,8,0,0,0,2026-06-22T23:23:13.558082
4,9,0,0,0,2026-06-22T23:23:15.616017
4,10,0,0,0,2026-06-22T23:23:16.872193
5,1,0,0,0,2026-06-22T23:23:18.729734
5,2,0,0,0,2026-06-22T23:23:20.184794
5,3,0,0,0,2026-06-22T23:23:21.453242
5,4,0,0,0,2026-06-22T23:23:23.127481
5,5,0,0,0,2026-06-22T23:23:24.580141
5,6,0,0,0,2026-06-22T23:23:26.453189
5,7,0,0,0,2026-06-22T23:23:28.334673
5,8,0,0,0,2026-06-22T23:23:30.178028
5,9,0,0,0,2026-06-22T23:23:31.841048
5,10,0,0,0,2026-06-22T23:23:33.074908
6,1,5,0,5,2026-06-22T23:23:34.944692
6,2,5,0,5,2026-06-22T23:23:36.600269
6,3,5,0,5,2026-06-22T23:23:37.651802
6,4,5,0,5,2026-06-22T23:23:39.507458
6,5,5,0,5,2026-06-22T23:23:41.347981
6,6,5,0,5,2026-06-22T23:23:42.640991
6,7,5,0,5,2026-06-22T23:23:44.502750
6,8,5,0,5,2026-06-22T23:23:45.952844
6,9,5,0,5,2026-06-22T23:23:47.218341
6,10,5,0,5,2026-06-22T23:23:48.872063
7,1,5,0,5,2026-06-22T23:23:50.538359
7,2,5,0,5,2026-06-22T23:23:51.586368
7,3,5,0,5,2026-06-22T23:23:52.618190
7,4,5,0,5,2026-06-22T23:23:53.721598
7,5,5,0,5,2026-06-22T23:23:54.759328
7,6,5,0,5,2026-06-22T23:23:55.601788
7,7,5,0,5,2026-06-22T23:23:58.295416
7,8,5,0,5,2026-06-22T23:24:04.968709
7,9,5,0,5,2026-06-22T23:24:06.420916
7,10,5,0,5,2026-06-22T23:24:07.875166
8,1,5,0,5,2026-06-22T23:24:09.348025
8,2,5,0,5,2026-06-22T23:24:11.009751
8,3,3,0,3,2026-06-22T23:24:12.850245
8,4,5,0,5,2026-06-22T23:24:14.687790
8,5,3,0,3,2026-06-22T23:24:15.745026
8,6,3,0,3,2026-06-22T23:24:16.813620
8,7,5,0,5,2026-06-22T23:24:18.672338
8,8,3,0,3,2026-06-22T23:24:20.341603
8,9,3,0,3,2026-06-22T23:24:22.229940
8,10,5,0,5,2026-06-22T23:24:23.945188
9,1,3,0,3,2026-06-22T23:24:25.615176
9,2,3,0,3,2026-06-22T23:24:27.264564
9,3,0,0,0,2026-06-22T23:24:28.554173
9,4,3,0,3,2026-06-22T23:24:29.621310
9,5,3,0,3,2026-06-22T23:24:30.659206
9,6,3,0,3,2026-06-22T23:24:32.318819
9,7,3,0,3,2026-06-22T23:24:34.171729
9,8,3,0,3,2026-06-22T23:24:35.626895
9,9,3,0,3,2026-06-22T23:24:37.074384
9,10,3,0,3,2026-06-22T23:24:38.757246
10,1,0,0,0,2026-06-22T23:24:40.612451
10,2,0,0,0,2026-06-22T23:24:42.270461
10,3,0,0,0,2026-06-22T23:24:52.079973
10,4,0,0,0,2026-06-22T23:24:57.153396
10,5,0,0,0,2026-06-22T23:24:59.030487
10,6,0,0,0,2026-06-22T23:25:00.292822
10,7,0,0,0,2026-06-22T23:25:02.159461
10,8,0,0,0,2026-06-22T23:25:03.217864
10,9,0,0,0,2026-06-22T23:25:05.076515
10,10,0,0,0,2026-06-22T23:25:06.139810
11,1,5,0,5,2026-06-22T23:25:07.387293
11,2,5,0,5,2026-06-22T23:25:08.845096
11,3,5,0,5,2026-06-22T23:25:10.276848
11,4,5,0,5,2026-06-22T23:25:11.937573
11,5,5,0,5,2026-06-22T23:25:13.390451
11,6,5,0,5,2026-06-22T23:25:14.850021
11,7,5,0,5,2026-06-22T23:25:16.718369
11,8,5,0,5,2026-06-22T23:25:18.015499
11,9,5,0,5,2026-06-22T23:25:19.070871
11,10,5,0,5,2026-06-22T23:25:20.945727
12,1,5,0,5,2026-06-22T23:25:22.815610
12,2,5,0,5,2026-06-22T23:25:24.486567
12,3,5,0,5,2026-06-22T23:25:26.137151
12,4,5,0,5,2026-06-22T23:25:27.612962
12,5,5,0,5,2026-06-22T23:25:29.079784
12,6,5,0,5,2026-06-22T23:25:30.524694
12,7,5,0,5,2026-06-22T23:25:31.746920
12,8,5,0,5,2026-06-22T23:25:33.610717
12,9,5,0,5,2026-06-22T23:25:35.073935
12,10,5,0,5,2026-06-22T23:25:36.164584
13,1,3,0,3,2026-06-22T23:25:37.823053
13,2,3,0,3,2026-06-22T23:25:39.116114
13,3,3,0,3,2026-06-22T23:25:40.779410
13,4,3,0,3,2026-06-22T23:25:42.455511
13,5,3,0,3,2026-06-22T23:25:43.923246
13,6,3,0,3,2026-06-22T23:25:44.986061
13,7,3,0,3,2026-06-22T23:25:46.221414
13,8,3,0,3,2026-06-22T23:25:47.923854
13,9,3,0,3,2026-06-22T23:25:49.389145
13,10,3,0,3,2026-06-22T23:25:50.587556
14,1,3,0,3,2026-06-22T23:25:52.277566
14,2,3,0,3,2026-06-22T23:25:53.530418
14,3,3,0,3,2026-06-22T23:25:54.997236
14,4,3,0,3,2026-06-22T23:25:56.650466
14,5,3,0,3,2026-06-22T23:25:58.116341
14,6,3,0,3,2026-06-22T23:25:59.845282
14,7,3,0,3,2026-06-22T23:26:01.114336
14,8,3,0,3,2026-06-22T23:26:02.582065
14,9,3,0,3,2026-06-22T23:26:03.826431
14,10,3,0,3,2026-06-22T23:26:05.708770
15,1,0,0,0,2026-06-22T23:26:06.748858
15,2,0,0,0,2026-06-22T23:26:08.201217
15,3,0,0,0,2026-06-22T23:26:10.060839
15,4,0,0,0,2026-06-22T23:26:11.924697
15,5,0,0,0,2026-06-22T23:26:12.959275
15,6,0,0,0,2026-06-22T23:26:14.254554
15,7,0,0,0,2026-06-22T23:26:16.106302
15,8,0,0,0,2026-06-22T23:26:17.590677
15,9,0,0,0,2026-06-22T23:26:19.259437
15,10,5,0,5,2026-06-22T23:26:20.900213
16,1,5,0,5,2026-06-22T23:26:22.771468
16,2,5,0,5,2026-06-22T23:26:24.047314
16,3,5,0,5,2026-06-22T23:26:24.923435
16,4,5,0,5,2026-06-22T23:26:25.790114
16,5,5,0,5,2026-06-22T23:26:27.456185
16,6,5,0,5,2026-06-22T23:26:28.516332
16,7,5,0,5,2026-06-22T23:26:29.755355
16,8,5,0,5,2026-06-22T23:26:30.807200
16,9,5,0,5,2026-06-22T23:26:32.447739
16,10,5,0,5,2026-06-22T23:26:34.306876
17,1,5,0,5,2026-06-22T23:26:36.165773
17,2,5,0,5,2026-06-22T23:26:38.043910
17,3,5,0,5,2026-06-22T23:26:39.698861
17,4,5,0,5,2026-06-22T23:26:41.149139
17,5,5,0,5,2026-06-22T23:26:42.235506
17,6,5,0,5,2026-06-22T23:26:43.284390
17,7,5,0,5,2026-06-22T23:26:44.720607
17,8,5,0,5,2026-06-22T23:26:45.777367
17,9,5,0,5,2026-06-22T23:26:47.430007
17,10,5,0,5,2026-06-22T23:26:49.297046
18,1,0,0,0,2026-06-22T23:26:51.145203
18,2,0,0,0,2026-06-22T23:26:53.016809
18,3,0,0,0,2026-06-22T23:26:54.667216
18,4,0,0,0,2026-06-22T23:26:55.724643
18,5,0,0,0,2026-06-22T23:26:56.762720
18,6,0,0,0,2026-06-22T23:26:58.633204
18,7,0,0,0,2026-06-22T23:27:00.087095
