question_id,run_index,rating,failures,response,collected_at
1,1,5,0,5,2026-06-17T13:29:16.887383
1,2,5,0,5,2026-06-17T13:29:18.118129
1,3,5,0,5,2026-06-17T13:29:19.945862
1,4,5,0,5,2026-06-17T13:29:21.345067
1,5,5,0,5,2026-06-17T13:29:22.367083
1,6,5,0,5,2026-06-17T13:29:23.381581
1,7,4,0,4,2026-06-17T13:29:24.392433
1,8,5,0,5,2026-06-17T13:29:25.395356
1,9,5,0,5,2026-06-17T13:29:26.610305
1,10,5,0,5,2026-06-17T13:29:27.829899
2,1,5,0,5,2026-06-17T13:29:29.676491
2,2,5,0,5,2026-06-17T13:29:31.094991
2,3,5,0,5,2026-06-17T13:29:32.112220
2,4,5,0,5,2026-06-17T13:29:33.525815
2,5,5,0,5,2026-06-17T13:29:35.164982
2,6,5,0,5,2026-06-17T13:29:36.597568
2,7,5,0,5,2026-06-17T13:29:37.808294
2,8,5,0,5,2026-06-17T13:29:39.407825
2,9,5,0,5,2026-06-17T13:29:40.423577
2,10,5,0,5,2026-06-17T13:29:41.646644
3,1,2,0,2,2026-06-17T13:29:42.659003
3,2,1,0,1,2026-06-17T13:29:44.316552
3,3,0,0,0,2026-06-17T13:29:45.943021
3,4,3,0,3,2026-06-17T13:29:46.955875
3,5,3,0,3,2026-06-17T13:29:47.983811
3,6,3,0,3,2026-06-17T13:29:49.405534
3,7,0,0,0,2026-06-17T13:29:50.448938
3,8,2,0,2,2026-06-17T13:29:52.316538
3,9,2,0,2,2026-06-17T13:29:53.942724
3,10,2,0,2,2026-06-17T13:29:55.764976
4,1,2,0,2,2026-06-17T13:29:57.586937
4,2,0,0,0,2026-06-17T13:29:59.211450
4,3,0,0,0,2026-06-17T13:30:01.001892
4,4,1,0,1,2026-06-17T13:30:02.008609
4,5,2,0,2,2026-06-17T13:30:03.221226
4,6,2,0,2,2026-06-17T13:30:04.449909
4,7,0,0,0,2026-06-17T13:30:06.455729
4,8,2,0,2,2026-06-17T13:30:08.292500
4,9,2,0,2,2026-06-17T13:30:09.492371
4,10,0,0,0,2026-06-17T13:30:10.707187
5,1,0,0,0,2026-06-17T13:30:12.314486
5,2,0,0,0,2026-06-17T13:30:14.135367
5,3,0,0,0,2026-06-17T13:30:15.956152
5,4,0,0,0,2026-06-17T13:30:17.774257
5,5,0,0,0,2026-06-17T13:30:19.596493
5,6,0,0,0,2026-06-17T13:30:21.211503
5,7,0,0,0,2026-06-17T13:30:22.641267
5,8,0,0,0,2026-06-17T13:30:23.652533
5,9,0,0,0,2026-06-17T13:30:25.069522
5,10,0,0,0,2026-06-17T13:30:26.274207
6,1,5,0,5,2026-06-17T13:30:27.483812
6,2,5,0,5,2026-06-17T13:30:28.701544
6,3,5,0,5,2026-06-17T13:30:29.747150
6,4,5,0,5,2026-06-17T13:30:30.963818
6,5,5,0,5,2026-06-17T13:30:31.976839
6,6,5,0,5,2026-06-17T13:30:33.789715
6,7,5,0,5,2026-06-17T13:30:35.206552
6,8,5,0,5,2026-06-17T13:30:36.632524
6,9,5,0,5,2026-06-17T13:30:38.053821
6,10,5,0,5,2026-06-17T13:30:39.470739
7,1,5,0,5,2026-06-17T13:30:40.913511
7,2,5,0,5,2026-06-17T13:30:42.575947
7,3,5,0,5,2026-06-17T13:30:44.404472
7,4,5,0,5,2026-06-17T13:30:46.033379
7,5,5,0,5,2026-06-17T13:30:47.241251
