table_id,run_index,target_persona,correct_id,rating,correct,failures,response,table_json,collected_at
0,1,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:49.846955
0,2,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:51.555252
0,3,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:53.761988
0,4,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:55.045433
0,5,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:55.748339
0,6,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:56.499691
0,7,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:57.232303
0,8,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:56:58.628052
0,9,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:57:23.251016
0,10,B,0,0,1,0,0,"{""A"": 1, ""B"": 0, ""C"": 3, ""D"": 2, ""E"": 5, ""F"": 4}",2026-07-08T13:57:26.981471
1,1,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:27.628979
1,2,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:28.169220
1,3,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:29.079347
1,4,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:30.205387
1,5,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:31.050981
1,6,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:32.303820
1,7,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:33.337221
1,8,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:34.070915
1,9,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:34.945592
1,10,E,1,1,1,0,1,"{""A"": 3, ""B"": 4, ""C"": 0, ""D"": 2, ""E"": 1, ""F"": 5}",2026-07-08T13:57:36.339181
2,1,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:57:41.255403
2,2,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:57:42.696645
2,3,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:57:44.105604
2,4,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:57:45.025085
2,5,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:57:59.945692
2,6,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:58:00.606761
2,7,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:58:02.060863
2,8,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:58:04.977494
2,9,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:58:05.952253
2,10,D,2,2,1,0,2,"{""A"": 1, ""B"": 0, ""C"": 4, ""D"": 2, ""E"": 5, ""F"": 3}",2026-07-08T13:58:06.858317
3,1,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:08.626428
3,2,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:09.673587
3,3,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:14.455400
3,4,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:16.253857
3,5,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:18.401610
3,6,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:19.435530
3,7,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:20.860667
3,8,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:22.504695
3,9,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:23.227015
3,10,D,3,3,1,0,3,"{""A"": 0, ""B"": 5, ""C"": 4, ""D"": 3, ""E"": 2, ""F"": 1}",2026-07-08T13:58:24.078700
4,1,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:25.086335
4,2,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:26.577159
4,3,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:28.363395
4,4,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:30.200293
4,5,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:31.788497
4,6,B,4,4,1,0,4,"{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 5, ""E"": 3, ""F"": 0}",2026-07-08T13:58:32.920668
