persona_id,question_id,average_score,standard_deviation
0,1,3.5,0.5270462766947299
0,2,4.0,0.0
0,3,1.7,1.2516655570345725
0,4,2.1,0.31622776601683794
0,5,0.3,0.9486832980505139
0,6,3.6,0.5163977794943223
0,7,4.0,0.0
0,8,3.0,0.0
0,9,1.5,0.5270462766947299
0,10,2.7,0.48304589153964794
0,11,4.0,0.0
0,12,4.0,0.0
0,13,2.9,0.31622776601683794
0,14,4.0,0.0
0,15,0.0,0.0
0,16,4.8,0.4216370213557839
0,17,5.0,0.0
0,18,4.0,0.0
0,19,4.0,0.0
0,20,3.0,0.0
0,21,5.0,0.0
0,22,5.0,0.0
0,23,3.1,0.31622776601683794
0,24,0.0,0.0
0,25,0.1,0.31622776601683794
0,26,3.8,0.6324555320336759
0,27,3.0,0.0
0,28,4.0,0.0
0,29,3.4,0.6992058987801011
0,30,3.0,0.0
1,1,4.9,0.31622776601683794
1,2,4.8,0.4216370213557839
1,3,3.0,0.0
1,4,2.9,0.31622776601683794
1,5,3.0,0.0
1,6,4.9,0.31622776601683794
1,7,5.0,0.0
1,8,4.0,0.0
1,9,2.7,0.48304589153964794
1,10,3.1,0.31622776601683794
1,11,5.0,0.0
1,12,5.0,0.0
1,13,3.7,0.48304589153964794
1,14,4.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,4.5,0.5270462766947299
1,19,4.0,0.0
1,20,2.9,0.31622776601683794
1,21,5.0,0.0
1,22,4.5,0.5270462766947299
1,23,3.0,0.0
1,24,2.7,0.48304589153964794
1,25,2.4,0.5163977794943223
1,26,2.7,0.48304589153964794
1,27,3.3,0.48304589153964794
1,28,3.0,0.0
1,29,2.8,0.4216370213557839
1,30,3.1,0.31622776601683794
2,1,4.0,0.0
2,2,5.0,0.0
2,3,3.1,0.31622776601683794
2,4,3.0,0.0
2,5,2.6,0.5163977794943223
2,6,4.1,0.31622776601683794
2,7,4.3,0.48304589153964794
2,8,3.5,0.5270462766947299
2,9,2.5,0.5270462766947299
2,10,3.0,0.0
2,11,4.9,0.31622776601683794
2,12,5.0,0.0
2,13,3.1,0.31622776601683794
2,14,4.0,0.0
2,15,2.0,1.247219128924647
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.8,0.4216370213557839
2,19,4.1,0.31622776601683794
2,20,3.1,0.31622776601683794
2,21,5.0,0.0
2,22,5.0,0.0
2,23,3.7,0.48304589153964794
2,24,2.0,1.4142135623730951
2,25,1.6,1.1737877907772674
2,26,4.7,0.48304589153964794
2,27,3.1,0.31622776601683794
2,28,3.2,0.4216370213557839
2,29,3.0,0.0
2,30,3.0,0.0
3,1,4.1,0.31622776601683794
3,2,4.7,0.48304589153964794
3,3,3.0,0.0
3,4,2.4,0.5163977794943223
3,5,3.0,0.0
3,6,5.0,0.0
3,7,4.3,0.48304589153964794
3,8,3.8,0.4216370213557839
3,9,2.9,0.31622776601683794
3,10,2.1,1.286683937707919
3,11,5.0,0.0
3,12,4.9,0.31622776601683794
3,13,3.0,0.0
3,14,4.0,0.0
3,15,1.4,1.5055453054181622
3,16,5.0,0.0
3,17,5.0,0.0
3,18,4.7,0.48304589153964794
3,19,4.0,0.0
3,20,2.9,0.31622776601683794
3,21,5.0,0.0
3,22,5.0,0.0
3,23,3.2,0.4216370213557839
3,24,2.9,0.31622776601683794
