persona_id,question_id,average_score,standard_deviation
0,1,3.0,0.0
0,2,4.0,0.0
0,3,0.0,0.0
0,4,2.0,0.0
0,5,0.0,0.0
0,6,4.0,0.0
0,7,4.1,0.31622776601683794
0,8,3.0,0.0
0,9,2.0,0.0
0,10,0.0,0.0
0,11,3.4,0.5163977794943223
0,12,5.0,0.0
0,13,2.0,0.0
0,14,4.0,0.0
0,15,0.0,0.0
0,16,3.8,0.4216370213557839
0,17,5.0,0.0
0,18,4.9,0.31622776601683794
0,19,4.1,0.5676462121975466
0,20,3.3,0.48304589153964794
0,21,5.0,0.0
0,22,4.8,0.4216370213557839
0,23,4.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,5.0,0.0
0,27,3.2,0.4216370213557839
0,28,4.0,0.0
0,29,4.6,0.5163977794943222
0,30,3.0,0.0
1,1,4.9,0.31622776601683794
1,2,5.0,0.0
1,3,3.0,0.0
1,4,3.0,0.0
1,5,1.4,0.9660917830792959
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,2.1,0.31622776601683794
1,10,1.6,0.8432740427115679
1,11,4.9,0.31622776601683794
1,12,5.0,0.0
1,13,4.0,0.0
1,14,4.0,0.0
1,15,0.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,5.0,0.0
1,19,3.0,0.0
1,20,3.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,4.1,0.31622776601683794
1,24,3.0,0.0
1,25,0.0,0.0
1,26,2.7,0.48304589153964794
1,27,4.0,0.0
1,28,4.2,0.9189365834726815
1,29,5.0,0.0
1,30,3.0,0.0
2,1,4.2,0.4216370213557839
2,2,4.1,0.31622776601683794
2,3,3.0,0.0
2,4,2.1,0.31622776601683794
2,5,3.0,0.0
2,6,4.9,0.31622776601683794
2,7,4.7,0.48304589153964794
2,8,3.4,0.5163977794943223
2,9,2.0,0.0
2,10,1.7,0.4830458915396479
2,11,5.0,0.0
2,12,5.0,0.0
2,13,3.0,0.0
2,14,3.9,0.31622776601683794
2,15,2.0,0.0
2,16,4.7,0.48304589153964794
2,17,5.0,0.0
2,18,5.0,0.0
2,19,4.0,0.0
2,20,3.3,0.48304589153964794
2,21,5.0,0.0
2,22,5.0,0.0
2,23,4.0,0.0
2,24,2.0,0.0
2,25,0.0,0.0
2,26,4.9,0.31622776601683794
2,27,4.0,0.0
2,28,4.0,0.0
2,29,3.8,0.4216370213557839
2,30,3.0,0.0
3,1,4.1,0.31622776601683794
3,2,4.8,0.4216370213557839
3,3,2.9,0.31622776601683794
3,4,2.0,0.0
3,5,1.4,0.9660917830792958
3,6,5.0,0.0
