persona_id,question_id,average_score,standard_deviation
0,1,2.5,0.5270462766947299
0,2,5.0,0.0
0,3,1.0,0.0
0,4,1.0,0.0
0,5,1.0,0.0
0,6,4.0,0.0
0,7,4.8,0.4216370213557839
0,8,2.0,0.0
0,9,1.0,0.0
0,10,1.0,0.0
0,11,2.0,0.0
0,12,5.0,0.0
0,13,1.9,0.31622776601683794
0,14,4.0,0.0
0,15,1.0,0.0
0,16,4.2,0.4216370213557839
0,17,5.0,0.0
0,18,3.0,0.0
0,19,3.0,0.0
0,20,3.0,0.0
0,21,5.0,0.0
0,22,5.0,0.0
0,23,3.0,0.0
0,24,0.0,0.0
0,25,0.0,0.0
0,26,3.0,0.0
0,27,2.9,0.31622776601683794
0,28,3.3,0.48304589153964794
0,29,2.7,0.9486832980505138
0,30,3.0,0.0
1,1,5.0,0.0
1,2,5.0,0.0
1,3,2.5,0.97182531580755
1,4,2.0,0.0
1,5,2.0,0.0
1,6,5.0,0.0
1,7,5.0,0.0
1,8,5.0,0.0
1,9,1.9,0.31622776601683794
1,10,5.0,0.0
1,11,5.0,0.0
1,12,5.0,0.0
1,13,4.9,0.31622776601683794
1,14,4.7,0.48304589153964794
1,15,0.5,0.5270462766947299
1,16,5.0,0.0
1,17,5.0,0.0
1,18,3.0,0.0
1,19,3.0,0.0
1,20,5.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,2.8,0.4216370213557839
1,24,0.0,0.0
1,25,0.0,0.0
1,26,1.4,0.9660917830792958
1,27,5.0,0.0
1,28,3.3,0.6749485577105528
1,29,4.8,0.6324555320336759
1,30,4.0,1.0540925533894598
2,1,4.5,0.5270462766947299
2,2,4.8,0.4216370213557839
2,3,1.9,0.31622776601683794
2,4,1.3,0.48304589153964794
2,5,2.0,0.0
2,6,5.0,0.0
2,7,4.9,0.31622776601683794
2,8,2.2,0.4216370213557839
2,9,2.0,0.0
2,10,2.0,0.0
2,11,5.0,0.0
2,12,5.0,0.0
2,13,2.3,0.48304589153964794
2,14,3.3,0.48304589153964794
2,15,1.6,0.5163977794943223
2,16,5.0,0.0
2,17,5.0,0.0
2,18,4.0,0.0
2,19,4.0,0.0
2,20,4.0,0.0
2,21,5.0,0.0
2,22,5.0,0.0
2,23,3.9,0.31622776601683794
2,24,0.0,0.0
2,25,0.0,0.0
2,26,0.7,1.4944341180973262
2,27,3.0,0.0
2,28,3.1,0.31622776601683794
2,29,4.1,0.31622776601683794
2,30,4.0,0.0
3,1,4.0,0.0
3,2,4.2,1.0327955589886446
3,3,2.0,0.0
3,4,1.4,0.5163977794943223
3,5,1.9,0.31622776601683794
3,6,5.0,0.0
3,7,4.0,0.0
3,8,2.0,0.0
3,9,2.0,0.0
3,10,1.0,0.0
3,11,5.0,0.0
3,12,3.6,1.8973665961010278
3,13,2.0,0.0
3,14,3.9,0.31622776601683794
3,15,2.0,0.0
