persona_id,question_id,average_score,standard_deviation
0,1,4.9,0.31622776601683794
0,2,4.9,0.31622776601683794
0,3,5.0,0.0
0,4,5.0,0.0
0,5,5.0,0.0
0,6,5.0,0.0
0,7,4.6,0.5163977794943222
0,8,5.0,0.0
0,9,4.7,0.48304589153964794
0,10,5.0,0.0
0,11,5.0,0.0
0,12,4.7,0.6749485577105528
0,13,5.0,0.0
0,14,4.1,0.31622776601683794
0,15,5.0,0.0
0,16,4.9,0.31622776601683794
0,17,5.0,0.0
0,18,4.6,0.699205898780101
0,19,5.0,0.0
0,20,5.0,0.0
0,21,5.0,0.0
0,22,5.0,0.0
0,23,5.0,0.0
0,24,5.0,0.0
0,25,5.0,0.0
0,26,5.0,0.0
0,27,5.0,0.0
0,28,4.3,0.9486832980505138
0,29,5.0,0.0
0,30,4.8,0.6324555320336759
1,1,5.0,0.0
1,2,4.5,0.5270462766947299
1,3,5.0,0.0
1,4,5.0,0.0
1,5,4.9,0.31622776601683794
1,6,4.1,0.31622776601683794
1,7,4.7,0.48304589153964794
1,8,4.9,0.31622776601683794
1,9,4.7,0.48304589153964794
1,10,4.9,0.31622776601683794
1,11,4.7,0.48304589153964794
1,12,4.7,0.48304589153964794
1,13,5.0,0.0
1,14,4.6,0.5163977794943222
1,15,5.0,0.0
1,16,5.0,0.0
1,17,5.0,0.0
1,18,4.7,0.6749485577105528
1,19,5.0,0.0
1,20,5.0,0.0
1,21,5.0,0.0
1,22,5.0,0.0
1,23,5.0,0.0
1,24,5.0,0.0
1,25,4.8,0.6324555320336759
1,26,5.0,0.0
1,27,4.9,0.31622776601683794
1,28,5.0,0.0
1,29,5.0,0.0
1,30,5.0,0.0
2,1,4.7,0.6749485577105528
2,2,4.3,0.48304589153964794
2,3,4.7,0.6749485577105528
2,4,4.9,0.31622776601683794
2,5,4.5,0.5270462766947299
2,6,4.4,0.6992058987801011
2,7,5.0,0.0
2,8,4.8,0.4216370213557839
2,9,4.2,0.4216370213557839
2,10,4.6,0.5163977794943222
2,11,4.5,0.5270462766947299
2,12,5.0,0.0
2,13,4.8,0.4216370213557839
2,14,4.4,0.5163977794943222
2,15,4.9,0.31622776601683794
2,16,5.0,0.0
2,17,4.9,0.31622776601683794
2,18,4.8,0.4216370213557839
2,19,4.5,0.8498365855987975
2,20,4.6,0.8432740427115678
2,21,5.0,0.0
2,22,5.0,0.0
2,23,4.9,0.31622776601683794
2,24,4.9,0.31622776601683794
2,25,4.2,0.7888106377466155
2,26,5.0,0.0
2,27,5.0,0.0
2,28,3.9,0.5676462121975467
2,29,4.9,0.31622776601683794
2,30,5.0,0.0
3,1,5.0,0.0
3,2,4.6,0.5163977794943222
3,3,5.0,0.0
3,4,5.0,0.0
3,5,5.0,0.0
3,6,4.5,0.5270462766947299
3,7,4.5,0.5270462766947299
3,8,4.9,0.31622776601683794
3,9,4.6,0.5163977794943222
3,10,5.0,0.0
3,11,4.6,0.5163977794943222
3,12,5.0,0.0
3,13,5.0,0.0
3,14,4.1,0.5676462121975466
3,15,4.7,0.48304589153964794
3,16,5.0,0.0
3,17,5.0,0.0
3,18,4.9,0.31622776601683794
3,19,5.0,0.0
3,20,4.8,0.6324555320336759
3,21,5.0,0.0
3,22,5.0,0.0
3,23,5.0,0.0
3,24,5.0,0.0
3,25,5.0,0.0
3,26,5.0,0.0
3,27,5.0,0.0
3,28,4.7,0.6749485577105528
3,29,5.0,0.0
3,30,5.0,0.0
